model,validation_rows,mse,mae,r2_oos,mean_ic_pearson,ic_pearson_nw_tstat,mean_ic_spearman,ic_spearman_nw_tstat
ols,4293065,0.0167265532087008,0.08524925560787351,-0.000654521452878809,0.012422493244786935,5.2867930030730745,0.0220056810993255,8.820290982129881
gbm,4293065,0.01672263242511216,0.08520565823208387,-0.00041996327602911165,0.02678833264297248,10.029789742379538,0.01974854924453448,7.744714305472008
ridge,4293065,0.01672645131375748,0.08524890758442624,-0.00064842565809764,0.012504821278852196,5.087615749088726,0.022113092296091895,8.588797548026555
