fold,model,validation_rows,mse,mae,r2_oos,mean_ic_pearson,ic_pearson_nw_tstat,mean_ic_spearman,ic_spearman_nw_tstat
5,ols,431297,0.011934144322276153,0.07766339843813773,0.004551841842848403,0.03323142644297714,5.694890265077588,0.04106386890374085,6.378546887975235
8,ols,486388,0.020868964256781135,0.09110611748752687,0.0010002728380452686,0.04054277881718412,5.412162640457209,0.06196373301181117,8.691267517542148
8,ridge,486388,0.020868971279431592,0.09110658947774555,0.0009999366629573903,0.04068164624679676,4.082591315438319,0.06208481663319486,6.415255111602713
8,gbm,486388,0.020861074140280253,0.09112787407388684,0.0013779736254282415,0.0382492107243982,7.837333550279269,0.03170451105328785,5.251799097722921
9,ridge,463341,0.020445792958749067,0.10182082668820834,0.001617122704655194,0.01763123391624144,3.613285698938168,0.030667336903418035,6.234335305361029
2,gbm,418990,0.011370694821576575,0.0731670011854178,0.008733607982225444,0.0719882651277731,7.063461204692452,0.05621690684552198,7.126694689881928
6,gbm,416420,0.012458562439214855,0.07566477711354307,-0.0017912495982737031,0.033710301871162834,3.8533879742802286,0.03902296871484931,4.2471070720528274
3,gbm,405969,0.01238456806097416,0.07526824558531632,-0.01286277967843752,-0.04203560426536023,-4.327037009421739,-0.023395692151564687,-3.0275430301982684
4,ridge,415633,0.00905664496327602,0.0643171770493113,-0.005385932917875813,0.011392547376161515,2.0660818703268635,0.021579517471221478,3.86444555558391
10,gbm,414433,0.016944286196552794,0.09077258030512914,0.0012549358251304765,0.04562403592899126,4.47545954521427,0.01386027527318455,1.4199807581173234
1,gbm,410273,0.010281790155898848,0.06750045978230029,0.0024738729911955026,0.04940961361471675,6.495058675599997,0.036037013079561434,6.363039756451884
2,ols,418990,0.011383697298383807,0.07312788543550526,0.00760008725422745,0.03440525437843452,5.20020537833726,0.0439092273379725,7.668460765087532
9,ols,463341,0.02044577682261102,0.10182057419049226,0.001617910643961884,0.017347226962830503,3.280299405980101,0.03035647892116631,6.110011684591415
6,ols,416420,0.01247832345367708,0.07583389520089567,-0.0033802299856999785,0.02301133415271625,3.0160258843882533,0.033535488899276975,4.595851201972028
3,ols,405969,0.012335794608546776,0.07528692637286216,-0.00887387878525403,-0.018376442670996185,-2.6469614628646445,-0.010394284868895008,-1.5448049204156675
7,ridge,430321,0.0395593944623749,0.1303132243262224,-0.0031832370773527963,-0.0572055950108731,-7.683012456655189,-0.04930702369441916,-5.704626164718351
10,ols,414433,0.01696399618015619,0.09081423915948798,9.317258467889111e-05,0.006719475416045776,0.5669702198688381,0.017222278500345415,1.3463662506129157
1,ols,410273,0.010300374742576944,0.06758058151325327,0.0006708201677120273,0.03309570187537585,7.511530204937291,0.030240741528663823,6.546175333242223
6,ridge,416420,0.01247807140362562,0.07583263229371426,-0.0033599626765914437,0.02306901941065464,2.8513576879588216,0.03359567096499286,4.179682374386011
3,ridge,405969,0.012335328038508522,0.07528472466001497,-0.008835720698226579,-0.018541890408302463,-2.520853312213788,-0.010508501714971395,-1.453019110881704
4,gbm,415633,0.009031403959688513,0.06413042992327543,-0.0025839074390687777,0.02835096890729662,4.911242951250204,0.027567349721559612,4.242321345447454
7,ols,430321,0.03955970645202733,0.130314042089688,-0.003191148795762766,-0.05716328811175376,-7.97392945410053,-0.049330124575248435,-5.827032124110641
10,ridge,414433,0.016964004311823495,0.09081438787038798,9.269328077077255e-05,0.006777182195531098,0.5273736711436419,0.017293636451592334,1.2421662793800083
1,ridge,410273,0.010300208407057818,0.06757965511542284,0.0006869578269773635,0.03312865582036643,5.7746131655800275,0.0303725497311677,5.6387388152388365
9,gbm,463341,0.02043129846373753,0.10180521857805151,0.002324899393177593,0.052929163021525706,7.8709387557216735,0.03881191606642384,7.503018293185736
2,ridge,418990,0.01138397617930759,0.07312934460241435,0.007575775170273191,0.03472426417351301,4.972067394638585,0.04422779909329852,7.153721326870143
4,ols,415633,0.009057012720624591,0.06431894574018748,-0.0054267579768771945,0.011287329838364814,2.012678549666493,0.02146148961473359,3.7441221011990566
7,gbm,430321,0.03957300634720122,0.1301980097553909,-0.0035284196785621003,-0.042984534380100574,-5.468432045781416,-0.052051788426584124,-6.0651165973744785
5,ridge,431297,0.011934332383177385,0.07766426193541753,0.004536155349313842,0.03326606071377503,5.900335860062352,0.0410949409860425,6.658570213869653
5,gbm,431297,0.011953467154769668,0.0777781044827027,0.002940090091183678,0.03470451695181001,5.279090435230542,0.02962878111621618,3.769314776657224
