,ols,ols__decile,ridge,ridge__decile,gbm,gbm__decile,composite,composite__decile
days,2496,2496,2496,2496,2496,2496,2496,2496
first_date,2014-01-02,2014-01-02,2014-01-02,2014-01-02,2014-01-02,2014-01-02,2014-01-02,2014-01-02
last_date,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30,2023-11-30
mean_positions,1810.4959935897436,1810.4979967948718,1810.4963942307693,1810.4979967948718,1810.4963942307693,1809.8305288461538,1810.4979967948718,1810.2295673076924
mean_gross_exposure,0.7049237717348777,0.9459749497574571,0.7046691371660347,0.9459240207694655,0.833692466023702,0.9734169160405162,0.9037756622486054,0.9906104371427998
mean_net_exposure,-0.0012665083915171774,-0.0020905833586837026,-0.0012730214915633602,-0.0021102807634482074,0.000987328244018139,0.0005473622112665424,-0.0024151790668790803,-0.004295955706992168
max_abs_net_exposure,0.00639561531550278,0.011104326697572825,0.006415423095050018,0.01110432669757281,0.00426325467936645,0.008625803408077833,0.011271520676885324,0.021619161643525724
largest_position,0.0012789910441312596,0.003219884191384824,0.0012785677689246763,0.003219884191384824,0.0012868164856348243,0.0032182833104855216,0.0026332076233799924,0.003219884191384824
cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
cap_binds,False,False,False,False,False,False,False,False
mean_daily_turnover,0.02696571372747555,0.03820548173772511,0.026977518858458706,0.03822850285932669,0.021536463650788942,0.03208856246222407,0.02236336476157106,0.03291688761998923
annual_turnover_multiple,6.795359859323839,9.627781397906727,6.798334752331594,9.633582720550326,5.427188839998814,8.086317740480466,5.635567919915907,8.295055680237287
positions_without_return_per_day,0.016025641025641024,0.016025641025641024,0.016025641025641024,0.016025641025641024,0.016025641025641024,0.016025641025641024,0.016025641025641024,0.016025641025641024
breakeven_bp,5.430882981273464,6.170665322321223,5.501875610884617,6.3512093728937264,8.774458608626146,10.466234087651646,24.95194887680969,23.57208303338433
gross_return_annualised_return,0.007380960842326135,0.011881963360590476,0.007480718433696501,0.012236980173861255,0.009524128767553468,0.016926658875799777,0.028123680525906088,0.03910634825221993
gross_return_annualised_volatility,0.05457183633549839,0.08494916137649307,0.05466732066645911,0.08508066825702558,0.05991579490851602,0.09707645520573135,0.08443240053970598,0.11661288358979457
gross_return_sharpe,0.13525219853239387,0.13987146156664035,0.13684077329010683,0.1438279743747873,0.15895856480074463,0.17436420437816355,0.33309109235476947,0.3353518672069125
gross_return_hit_rate,0.49719551282051283,0.4987980769230769,0.49719551282051283,0.4979967948717949,0.5056089743589743,0.5152243589743589,0.5316506410256411,0.5284455128205128
gross_return_max_drawdown,-0.20271460584986045,-0.2937307568183679,-0.20285197781993458,-0.29443518623448917,-0.1966358178221712,-0.2831956072841846,-0.22851677349940114,-0.32463458002114987
gross_return_market_beta,-0.13624660954060672,-0.20707388140266395,-0.13658551914588618,-0.20762366020798834,-0.13984740261206965,-0.22188867118754363,-0.18662356617485332,-0.2650972059575023
net_return_1bp_annualised_return,0.006021888870461365,0.009956407081009125,0.0061210514832301804,0.010310263629751187,0.008438690999553706,0.015309395327703682,0.026996566941922893,0.037447337116172486
net_return_1bp_annualised_volatility,0.05457179017488356,0.08494907060296712,0.05466727314799933,0.08508057698503078,0.05991604193127645,0.09707655007970746,0.08443243546715912,0.11661272924096143
net_return_1bp_sharpe,0.11034801774256096,0.11720442625609331,0.11196921175597717,0.12118234261111313,0.14084193026690356,0.15770436130181256,0.31974165843437613,0.3211256383408504
net_return_1bp_hit_rate,0.4967948717948718,0.49719551282051283,0.49719551282051283,0.4967948717948718,0.5052083333333334,0.5144230769230769,0.5316506410256411,0.5268429487179487
net_return_1bp_max_drawdown,-0.2036068064276847,-0.2948703414893207,-0.20374397719510806,-0.29557415901509987,-0.19748649122832296,-0.28410376767270884,-0.22979520366744788,-0.32629557289947897
net_return_1bp_market_beta,-0.136247038143445,-0.20707513700314414,-0.13658594578231809,-0.2076249376926209,-0.13984792187018483,-0.22188933595089658,-0.18662353128867115,-0.2650975999976975
net_return_5bp_annualised_return,0.0005856009830022954,0.0022541819626837405,0.0006823836813649076,0.0026033974533109226,0.004096939927554654,0.008840341135319308,0.022488112605990176,0.03081129257198266
net_return_5bp_annualised_volatility,0.05457161790589748,0.08494871800181321,0.05466709542654387,0.08508022235652832,0.05991703962074528,0.09707693986068942,0.08443258120297198,0.11661211715354472
net_return_5bp_sharpe,0.010730870834947528,0.02653579731050945,0.01248253041506158,0.03059932592091023,0.06837687498392624,0.09106530498391965,0.26634401418961484,0.2642203342506253
net_return_5bp_hit_rate,0.4931891025641026,0.4935897435897436,0.4947916666666667,0.49238782051282054,0.5012019230769231,0.5132211538461539,0.5316506410256411,0.5260416666666666
net_return_5bp_max_drawdown,-0.20716568271305724,-0.30072708806390425,-0.20730205143483182,-0.300962979985433,-0.2009117021718575,-0.28772497688296994,-0.2348878331766886,-0.33289890573295855
net_return_5bp_market_beta,-0.1362487525547981,-0.20708015940506516,-0.1365876523280456,-0.20763004763115098,-0.13984999890264546,-0.22189199500430845,-0.18662339174394246,-0.26509917615847794
net_return_10bp_annualised_return,-0.006209758876321542,-0.00737359943522298,-0.006115951070966682,-0.007030185267239403,-0.001330248912444158,0.0007540233948388399,0.01685254468607427,0.022516236891745384
net_return_10bp_annualised_volatility,0.05457143041019317,0.08494830085975054,0.05466690106780848,0.08507980260496482,0.05991830832814164,0.09707745022810604,0.0844327769311789,0.11661136398724041
net_return_10bp_sharpe,-0.11379138918743914,-0.08680102321760122,-0.11187667402951003,-0.08263048399255639,-0.022201042545444905,0.007767235264905358,0.19959718605264837,0.1930878442877069
net_return_10bp_hit_rate,0.49038461538461536,0.48677884615384615,0.48998397435897434,0.48717948717948717,0.49719551282051283,0.5108173076923077,0.530448717948718,0.5240384615384616
net_return_10bp_max_drawdown,-0.2130770889265,-0.3092254079081126,-0.21325859119518054,-0.30946225693763496,-0.2142524290123109,-0.305702091256127,-0.24120642497337574,-0.34106237750974333
net_return_10bp_market_beta,-0.13625089556898956,-0.2070864374074666,-0.13658978551020487,-0.2076364350543136,-0.13985259519322132,-0.22189531882107327,-0.18662321731303166,-0.2651011463594537
net_return_20bp_annualised_return,-0.019800478594969223,-0.026629162231036438,-0.019712620575629867,-0.026297350708340057,-0.012184626592441785,-0.015418612086122094,0.005581408846242462,0.0059261255312707956
net_return_20bp_annualised_volatility,0.05457114822169692,0.08494754527499768,0.05466660499514216,0.08507904155016272,0.05992091772231,0.09707854809867156,0.08443321358198938,0.11660989746549058
net_return_20bp_sharpe,-0.36283785920225076,-0.31347771315616946,-0.3605971246500783,-0.30909317064691083,-0.20334512647000325,-0.15882615045345003,0.06610442276750017,0.0508200904046294
net_return_20bp_hit_rate,0.48197115384615385,0.47876602564102566,0.4823717948717949,0.4795673076923077,0.49399038461538464,0.5076121794871795,0.5252403846153846,0.5220352564102564
net_return_20bp_max_drawdown,-0.2610924331716873,-0.35879488833132644,-0.261352012944119,-0.35845131572428846,-0.26127076217807543,-0.37393024704276956,-0.2536879249654441,-0.357091654025702
net_return_20bp_market_beta,-0.1362551815973725,-0.2070989934122693,-0.13659405187452367,-0.2076492099006388,-0.13985778777437308,-0.22190196645460297,-0.18662286845120996,-0.265105086761405
exposure_mom_120_20,0.13030092682964992,0.184446229320833,0.13143797104774305,0.18660968282208076,0.1078845799378243,0.2061335435164135,0.47128579888142796,0.6229489403602619
exposure_rev_5,0.03491257084133176,0.05394178121705453,0.03496649949482265,0.053994319117415146,0.02132357264106158,0.02929528832257313,0.01765286141995288,0.02878717808743966
exposure_rvol_20,-0.24003233568275503,-0.36174001669465955,-0.24077496197855944,-0.36296209955040315,-0.32722070700172395,-0.45198223174325847,-0.2904998185973188,-0.4005192687181466
exposure_vs_20,0.04552475334717766,0.06880769260048969,0.04578835298942187,0.06922721472745323,0.057676067084907294,0.0802214422455117,0.062133475748695696,0.08378002199532808
exposure_rmom_120_20,0.16533166799257368,0.2596248937578388,0.1652190184594806,0.2595507388420956,0.08496342217981073,0.1400928708463541,0.35471744431075763,0.47819889170101615
exposure_dd_252,0.2305586175127385,0.3426290021039249,0.23113318650490264,0.343761433745439,0.2500600589448567,0.390006347510153,0.3923723011664169,0.5109747229872306
