date,gross_return,turnover,names_without_target,names_without_any_return,net_return_1bp,net_return_5bp,net_return_10bp,net_return_20bp,offset
2006-01-04,-0.024241128375668268,1.0000000000000004,0,0,-0.024441128375668267,-0.02524112837566827,-0.02624112837566827,-0.02824112837566827,0
2006-02-02,0.0022807296966555826,1.8241610629211642,0,0,0.0019158974840713498,0.0004565686337344183,-0.001367592429186746,-0.005015914555029075,0
2006-03-03,0.00603511659843139,1.7619590646770666,2,0,0.0056827247854959765,0.004273157533754323,0.0025111984690772563,-0.001012719660276877,0
2006-03-31,-0.03065984466893546,1.7091226862261941,2,0,-0.0310016692061807,-0.032368967355161656,-0.03407809004138785,-0.03749633541384024,0
2006-05-01,-0.04420594535236318,1.877785345830035,1,0,-0.04458150242152918,-0.046083730698193215,-0.047961516044023246,-0.051717086735683315,0
2006-05-30,-0.0031523161900328554,1.7861769719563971,1,0,-0.0035095515844241346,-0.004938493161989252,-0.00672467013394565,-0.010297024077858444,0
2006-06-27,-0.014711359038805915,1.6130200704393751,0,0,-0.015033963052893791,-0.01632437910924529,-0.017937399179684666,-0.021163439320563415,0
2006-07-26,0.01805342953479681,1.7714523055455969,1,0,0.01769913907368769,0.016281977229251215,0.014510524923705616,0.010967620312614423,0
2006-08-23,0.008243365234662263,1.7888777894445909,0,0,0.007885589676773344,0.006454487445217672,0.004665609655773081,0.0010878540768838986,0
2006-09-21,0.0447044039755538,1.8167003103294759,0,0,0.0443410639134879,0.042887703665224326,0.04107100335489485,0.037437602734235895,0
2006-10-19,0.007548930320016613,1.8532744954505582,1,0,0.007178275420926501,0.005695655824566054,0.0038423813291154963,0.0001358323382143799,0
2006-11-16,0.012277440461679516,1.8259909621107107,0,0,0.011912242269257375,0.010451449499568806,0.008625458537458094,0.004973476613236673,0
2006-12-15,-0.010897818597869464,1.7593223427878368,2,0,-0.011249683066427032,-0.012657140940657301,-0.014416463283445138,-0.017935107969020814,0
2007-01-18,-0.019330826799658335,1.7178957037892477,2,0,-0.019674405940416185,-0.02104872250344758,-0.02276661820723683,-0.026202409614815327,0
2007-02-15,-0.04540217029666878,1.7278605129996805,0,0,-0.045747742399268716,-0.04713003080966846,-0.04885789132266814,-0.0523136123486675,0
2007-03-16,-0.024735749007022984,1.6692754828760263,1,0,-0.025069604103598188,-0.02640502448989901,-0.028074299972775038,-0.03141285093852709,0
2007-04-16,-0.0007659200551356214,1.7822853295602195,0,0,-0.0011223771210476653,-0.002548205384695841,-0.004330490714256061,-0.0078950613733765,0
2007-05-14,0.001225051015899638,1.7291501957737878,0,0,0.0008792209767448803,-0.0005040991798741499,-0.0022332493756479378,-0.0056915497671955135,0
2007-06-12,-0.018606988325738618,1.786490873183824,0,0,-0.018964286500375384,-0.020393479198922444,-0.022179970072106266,-0.025752951818473913,0
2007-07-11,-0.03205320556867916,1.7748354680020304,1,0,-0.032408172662279564,-0.03382804103668119,-0.035602876504683224,-0.03915254744068728,0
2007-08-08,0.04300657062393862,1.7521245711173217,0,0,0.042656145709715154,0.041254446052821296,0.039502321481703975,0.035998072339469334,0
