year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1706.912,0.004502294460643934,0.0024521960615809376,0.02566912134941201
2007,251,1820.1115537848605,-0.010344372309771073,-0.009051990888772107,-0.10055683609661584
2008,253,1612.893280632411,-0.0012969793591610114,0.006522051058142153,0.04254100811273479
2009,252,1335.4444444444443,0.005710695392150388,0.017545303703314755,0.12510415572791067
2010,252,1420.8373015873017,0.0174081536113441,0.021319247999849824,0.21360544891884473
2011,252,1490.4484126984128,0.017396054215085735,0.019716064152639674,0.16445023305881154
2012,250,1395.704,0.008209046298057902,-0.0013086514191550439,-0.013882311028840398
2013,252,1507.4007936507937,-0.009766362739559524,0.0012903679330581162,0.01912671036530105
2014,252,1636.3650793650793,-0.003515664658548574,0.0036447481399372534,0.037191561132079526
2015,252,1668.0119047619048,0.00018249933084044106,-0.004200554327403156,-0.037573899496640174
2016,252,1610.25,0.03802108414021858,0.03563145019779017,0.3204735621262571
2017,251,1654.1075697211156,0.016534842627477283,0.014867388409560226,0.18029068351907374
2018,251,1720.5737051792828,0.00853577095442458,0.007899566919094764,0.08870069556925483
2019,252,1654.7460317460318,0.012522173964904704,0.018918204250975672,0.16868462708808965
2020,253,1704.8379446640315,-0.007253249863367157,-0.006844882838641642,-0.0398113788951402
2021,252,1938.968253968254,-0.0032520688403907274,-0.001528610264434148,-0.010597589908772121
2022,251,1852.434262948207,0.022106514571115638,0.018912618471091963,0.13475970727912492
2023,230,1799.504347826087,-0.010192198557633236,-0.013823899282479613,-0.12252000560893743
