model,validation_rows,mse,mae,r2_oos,mean_ic_pearson,ic_pearson_nw_tstat,mean_ic_spearman,ic_spearman_nw_tstat
gbm,4293225,0.016679129779777792,0.08517936097218327,0.0003074793219117744,0.026545845494286204,4.83754952419685,0.012652162999647743,2.415431796352483
ridge,4293225,0.01668703914666403,0.0852075699434928,-0.00016658227625776512,0.010299300107638562,0.9815798191466386,0.02239798390860983,2.020750270573086
ols,4293225,0.01668705359904429,0.08520756264993547,-0.0001674485046911922,0.010281439090687306,0.9800887384497368,0.022368634494924447,2.0186448328882873
