book,gross_sharpe,gross_naive_tstat,gross_hac_tstat,net_sharpe_10bp,breakeven_bp,annual_turnover,beta,max_drawdown
composite,0.27478298684131847,0.8680776289061649,0.9395121223218681,0.1197484320201577,17.724596323377067,6.417256143809823,-0.18865765781140365,-0.21794368247905815
composite__decile,0.28024685822458534,0.8853387576592837,0.9399905538738091,0.10875160436771127,16.341656160335912,9.823899767084882,-0.27062998784056713,-0.3146736789240244
gbm__decile,0.3039194434527062,0.9601237430440349,1.0111469306919254,-0.033489226660860454,9.007375442612721,10.396587810304199,-0.13503123900313616,-0.15188086759471797
ridge,0.006803534889020619,0.021493311876881152,0.02205112781357721,-0.1740184729611509,0.37624568639764605,6.552315798872963,-0.2218609209742611,-0.277292188400695
ols,0.006400841974977477,0.020221149018407842,0.020743833757924116,-0.17451134268528656,0.35379970911232844,6.552359406356262,-0.22174379138617525,-0.2772325982804925
ols__decile,-0.011131993064740539,-0.035167512573186614,-0.03578655045246862,-0.19417029601974298,-0.6081636619197841,10.0764998198274,-0.32918723607839584,-0.3746368794205672
ridge__decile,-0.012947714856659315,-0.04090362995803883,-0.04163328607299946,-0.19595488338332395,-0.7074801475172057,10.076842024130118,-0.3294846043398253,-0.3749057750643049
gbm,0.18694254146786055,0.5905774589779335,0.5995236891327801,-0.2271234974476066,4.514442093834305,7.122354998527323,-0.07372995509809918,-0.1310438705959518
