fold,model,validation_rows,mse,mae,r2_oos,mean_ic_pearson,ic_pearson_nw_tstat,mean_ic_spearman,ic_spearman_nw_tstat
2,gbm,418994,0.01145354677631931,0.07346492031504388,0.0016970537826633825,0.03685639542430877,3.6592541446258844,0.022770510073696716,1.7493707684877264
9,ridge,463511,0.02046221086800879,0.10194912128290734,0.0005296211562162423,0.04505966825396206,1.4908021364999657,0.05570891451166518,1.8599864605877412
2,ridge,418994,0.011461297999470632,0.07347419314176035,0.0010214491808854254,0.04394649768368463,1.63044623187507,0.05649843541572178,2.34037349280418
9,gbm,463511,0.02043335133314514,0.10185451364998081,0.0019392562357050114,0.04138894216756531,2.4284303247892214,0.03139855801510913,2.4376648269011265
5,ridge,431290,0.011957939231686759,0.07786094014506985,0.0003887280550243233,0.022535042225399076,0.7884662629970789,0.03347811257465669,1.1016916496440436
9,ols,463511,0.020462213135867643,0.10194916250869075,0.0005295103833496961,0.04499365131852166,1.4902573160471349,0.055628983133682704,1.8595559926069536
8,ridge,486382,0.02067954475192388,0.09109593244190754,0.00044592164840850934,0.0467776616075355,1.6389250530789978,0.06260553757280271,2.2977721653267293
4,ridge,415588,0.00896397818056304,0.06403594071553846,-0.00035036446482128447,-0.004215239255066648,-0.16831606395326776,0.01845318837912997,0.685112242144082
6,gbm,416451,0.012415939861067276,0.07558637023668537,0.00012866152695167887,0.029553554047637823,1.6203623137309258,0.024832772344486345,1.7433058482986672
1,gbm,410265,0.010257071429136764,0.06754114828669201,0.001486567330050037,0.03761941720051957,2.2378550765208423,0.006702472409063054,0.3949324742840291
3,gbm,405866,0.012281938752835618,0.07496959445198302,-0.003598739219073721,-0.013740669779623602,-0.724801898330399,-0.0013612069133512156,-0.08010504459372096
10,gbm,414494,0.016950296232447266,0.09079253822990684,0.001316991347262042,0.044022136341518095,1.7057130716684692,0.013192154070475318,0.5624538143462674
8,gbm,486382,0.020674760934307364,0.09102562597518264,0.0006771493889630165,0.0330766258953866,2.2725626634353486,0.030520954627805314,2.76424715749532
5,ols,431290,0.011957939209688026,0.07786094016333181,0.0003887298939845296,0.022535110178555737,0.7884682006890585,0.03347806413478296,1.10168761843754
8,ols,486382,0.020679535281826977,0.09109583470118221,0.0004463793893347834,0.04672604435137743,1.6364803327826145,0.06259445502014561,2.295848324036976
4,ols,415588,0.008963998693296293,0.06403589006793867,-0.00035265361811620544,-0.004236508597035468,-0.16905483489448622,0.01841927688120964,0.6834205180102279
7,gbm,430384,0.03949257064881689,0.1300177440693779,-0.0009645953172690014,-0.0058091095740450535,-0.41215464838862226,-0.03015254072917203,-1.6125855983463235
5,gbm,431290,0.011947230051806985,0.0778670109052727,0.0012839506108249799,0.03692404452047757,2.798755181558391,0.011232106058405071,0.6815161940771916
4,gbm,415588,0.008960654365217398,0.0640134495218026,2.056235198355516e-05,0.027324393291195563,2.4995372757641854,0.017691605149129284,1.4087811061541267
6,ridge,416451,0.012414075831842581,0.07558443395776128,0.00027877415770782843,0.0224481858001054,0.7546976292504842,0.03613648629076349,1.1716896974310627
1,ridge,410265,0.010267272123249268,0.06754040918906976,0.0004935421606085955,0.02710942472887478,0.9500243552447115,0.03013251690950233,1.1387863484525864
3,ridge,405866,0.01225780657215742,0.07492672979580398,-0.0016268171479223437,-0.035067911653523375,-1.2105136642796595,-0.029616759767428762,-0.9678094493191242
7,ols,430384,0.03949946379132371,0.13006697667799202,-0.0011393064461335811,-0.07339198877784461,-2.268543874176352,-0.05779247385824323,-1.382658103556693
10,ridge,414494,0.016980316228481354,0.09086428857708989,-0.00045173644061424767,0.008070481250049494,0.1711211794314796,0.018484675587115338,0.35018605607495207
6,ols,416451,0.012414077967602908,0.0755843249496329,0.00027860216222741485,0.022436299249317976,0.7546096532330023,0.03613678422195963,1.172286743710201
1,ols,410265,0.010267246815057241,0.06754028261334839,0.0004960058823316738,0.027157457836661084,0.9512339001562483,0.030102006881060798,1.1372063312709801
3,ols,405866,0.012257848287287279,0.07492678169364624,-0.001630225832216281,-0.03503472918352456,-1.209888868829671,-0.02959504433785573,-0.9674695816086185
7,ridge,430384,0.039499372017754684,0.13006686338119852,-0.001136980386020392,-0.07340433657765233,-2.2678759687022887,-0.0577643010638653,-1.3814401905838392
10,ols,414494,0.0169803301781806,0.09086431532609282,-0.00045255833348289976,0.00807005866744295,0.17113970986259758,0.01848283851152812,0.35021382789130623
2,ols,418994,0.011461308412149285,0.07347427576686702,0.0010205416010781176,0.043826737903818073,1.6258016015491363,0.05637071633471743,2.337516309947321
