dropped,weighting,gross_sharpe,hac_t,net_sharpe_1bp,net_sharpe_5bp,net_sharpe_10bp,net_sharpe_20bp,breakeven_bp,annual_turnover,beta
full,rank,0.28050501303932274,0.9582182055146307,0.2650094399373023,0.20302846726169635,0.12555528930888826,-0.029380506614419294,18.103626154008058,6.413938300680762,-0.1885761051350821
full,decile,0.2864968354787318,0.9597276029309051,0.2693518406731048,0.20077268398208273,0.11505064891748823,-0.05638667128499724,16.71088541267896,9.82051726244498,-0.27047392333884074
mom_120_20,rank,0.26153786525781,0.8671638720023189,0.24475572725473263,0.1776286160908459,0.09372303121545378,-0.07407673129593008,15.585295152694792,6.910288354152011,-0.21469290758522327
mom_120_20,decile,0.27589893431381696,0.9052055660694028,0.25750265714025944,0.18391852659677926,0.09194063408688005,-0.09200713985135187,14.998117572310182,10.318782078018417,-0.2946605354200822
rev_5,rank,0.22577129371807172,0.7805197791427817,0.2125267148617194,0.1595499645217978,0.09333260598507787,-0.039089812938948025,17.04796579498385,5.896787260299883,-0.21608891894537716
rev_5,decile,0.23364854906863003,0.8004614236375609,0.21919230121401836,0.16136847167548796,0.08909134271445733,-0.0554537784316165,16.163464807587697,9.125606652508546,-0.31638381095503487
rvol_20,rank,0.29063941947762334,1.019417206552747,0.27179106018291965,0.19639857425159263,0.10216020726737997,-0.0863084245931802,15.420467476238285,6.602273045466043,-0.10478175694116336
rvol_20,decile,0.36136188313558487,1.2526534627780606,0.33979760319392616,0.2535409675715698,0.14572136141602443,-0.06991326240125444,16.757756797446696,10.245157251617272,-0.14204850134637814
vs_20,rank,0.26217247462749205,0.9016496275266366,0.24854007717709434,0.1940116026661917,0.12585358629955667,-0.01045343064100052,19.23306432992189,5.886513473003618,-0.19894645403976466
vs_20,decile,0.26427632834821063,0.898499204284927,0.24964986805097739,0.19114464996257202,0.11801457656992109,-0.028240440332939255,18.06905806333556,9.031465569930253,-0.2984710279883591
rmom_120_20,rank,0.2864343078143978,0.9654655321066243,0.271204460072166,0.21028654221234017,0.134142514615429,-0.018133958452328944,18.809088107967863,6.697089143023965,-0.21440687004334855
rmom_120_20,decile,0.3096732666688771,1.0384784232850761,0.29263432589340205,0.22447984079925545,0.13928966733323642,-0.03108053991188261,18.17564504350445,10.24265467232736,-0.29777913273785284
dd_252,rank,0.3367936562050724,1.1544514271228064,0.31467244827473295,0.2261883176922049,0.11558484863817349,-0.10561570376200932,15.225290767284523,7.426586496091866,-0.13217419829387755
dd_252,decile,0.36745655540805566,1.2391423821460417,0.3437049321975783,0.24869865914429054,0.1299414371581518,-0.10757015197363089,15.470928559518825,10.878714411273656,-0.18264847951423688
