year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1706.912,0.005885015979876455,0.004543398051331717,0.10284035777620895
2007,251,1820.1075697211156,0.002581831143445426,0.006049698906581042,0.146899673622214
2008,253,1612.893280632411,0.007030011169690076,0.005173772602644612,0.09659209387700825
2009,252,1335.4404761904761,-0.0037597619726237506,-0.004691789406344121,-0.09703692963736628
2010,252,1420.8055555555557,-0.002526851873095544,-0.004230214898526789,-0.09315361063383627
2011,252,1490.4404761904761,0.015363827388047492,0.018650501032893087,0.4549546922832546
2012,250,1395.692,0.0024253735621804443,0.001328168159885493,0.03491682455747282
2013,252,1507.4007936507937,-0.00745516097825415,-0.005623521983922686,-0.14585261894709353
2014,252,1636.3650793650793,-0.003669179448346661,-0.006261785739060771,-0.1343237142943827
2015,252,1668.0079365079366,-0.0003101580186482599,0.0017326371764310306,0.03651164983936191
2016,252,1610.2222222222222,-0.0073868674021813465,-0.007371838466789181,-0.16073371114700502
2017,251,1654.1075697211156,0.0006654154942543295,0.0009381665214473325,0.022058843589450657
2018,251,1720.565737051793,0.013660573953116853,0.013108163864233486,0.2927626010557064
2019,252,1654.7460317460318,0.005932787955152676,0.0023668933906235653,0.05422508403382209
2020,253,1704.8379446640315,-0.00864150723885104,-0.007041964465032237,-0.12383157945825243
2021,252,1938.9444444444443,0.01778991727651316,0.028174308052973263,0.4203760507428435
2022,251,1852.406374501992,0.02007193845407553,0.02096153859454947,0.3447171236112851
2023,230,1799.4391304347826,0.01175667577811806,0.010908245972048782,0.1978054017212372
