date,gross_return,turnover,names_without_target,names_without_any_return,net_return_1bp,net_return_5bp,net_return_10bp,net_return_20bp,offset
2006-01-04,0.005321873538705133,0.9999999999999986,4,0,0.005121873538705133,0.004321873538705135,0.003321873538705136,0.001321873538705139,0
2006-02-02,0.019301790226143683,1.8137380378333974,4,0,0.018939042618577002,0.017488052188310284,0.01567431415047689,0.012046838074810093,0
2006-03-03,0.004378661107104338,1.7797974785538953,5,0,0.004022701611393559,0.002598863628550443,0.0008190661499965475,-0.002740528807111243,0
2006-03-31,0.020944116469786073,1.8851161076219076,4,0,0.02056709324826169,0.019059000362164166,0.01717388425454226,0.013403652039298442,0
2006-05-01,0.0381346375768906,1.8440338677712917,3,0,0.037765830803336335,0.0362906037091193,0.034446569841348015,0.03075850210580543,0
2006-05-30,0.0074714167738286095,1.805277682268711,5,0,0.007110361237374867,0.005666139091559898,0.003860861409291187,0.00025030604475376455,0
2006-06-27,0.01158992143024311,1.7620569649902929,6,0,0.011237510037245052,0.009827864465252818,0.008065807500262524,0.004541693570281938,0
2006-07-26,0.003025008409775864,1.8033910762094927,1,0,0.0026643301945339652,0.001221617333566371,-0.0005817737426431218,-0.004188555895062108,0
2006-08-23,-0.019990060095850734,1.8789092501681224,2,0,-0.02036584194588436,-0.021868969346018858,-0.02374787859618698,-0.027505697096523223,0
2006-09-21,-0.005027969350911014,1.9122057611687688,1,0,-0.005410410503144768,-0.006940175112079783,-0.008852380873248552,-0.01267679239558609,0
2006-10-19,-0.011330672634154727,1.8949014611449522,7,0,-0.011709652926383717,-0.013225574095299678,-0.015120475556444631,-0.018910278478734534,0
2006-11-16,0.022404942373853827,1.874757419715354,5,0,0.022029990889910755,0.020530184954138473,0.01865542753442312,0.014905912694992411,0
2006-12-15,-0.0009934219365891825,1.7856482279310848,5,0,-0.0013505515821753994,-0.002779070164520267,-0.0045647183924513515,-0.00813601484831352,0
2007-01-18,-0.010284881296105323,1.8498743597717786,7,0,-0.01065485616805968,-0.012134755655877101,-0.013984630015648881,-0.01768437873519244,0
