year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,251,1706.788844621514,-0.029626469834215664,-0.034858696983761234,-0.21703391258524019
2007,251,1819.3107569721114,-0.04668667474015993,-0.05114667575758901,-0.39536085767520973
2008,253,1610.8695652173913,-0.037754799257914806,-0.05065238934047996,-0.2946545545224347
2009,252,1333.892857142857,0.06298957167383959,0.056432167801126004,0.22860329760235376
2010,252,1420.5198412698412,0.0115481914400364,0.023212461705055656,0.12158583958780445
2011,252,1489.813492063492,-0.05242652119144181,-0.0626294677857783,-0.29678316143793615
2012,250,1395.368,-0.017932097908164874,-0.018180635422316536,-0.0972664825111491
2013,252,1508.265873015873,0.011379177520609013,0.01320295174780258,0.10525548681733375
2014,252,1636.376984126984,-0.05760584809074133,-0.06499582260019351,-0.4247177552220689
2015,252,1667.8531746031747,-0.06062048870827532,-0.07713296936455229,-0.493344634379845
2016,252,1610.3015873015872,0.03946290700953373,0.026897814269121835,0.14544693352713184
2017,251,1654.0398406374502,-0.005944489913922411,-0.022644776209374613,-0.17913070276673115
2018,251,1720.3386454183267,-0.02382875804062282,-0.033540929347221485,-0.216896140104296
2019,252,1654.7261904761904,-0.028878812682208953,-0.03216301616266974,-0.21127433730731343
2020,253,1705.5177865612648,0.06731676397156028,0.05116359959943472,0.2556746958428094
2021,252,1939.2222222222222,-0.10320156585118738,-0.1328104633923234,-0.5473125384868065
2022,251,1851.9521912350597,-0.06424580917843578,-0.07949313035293741,-0.37567772346442224
2023,230,1799.0217391304348,-0.028160002610232934,-0.02536342055323202,-0.11991337918562942
