offset,rebalances,mean_turnover,mean_names_without_target,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,1.0682739000129786,3.7035398230088497,0.0019391566377814898,0.024433373636046772,0.2757723062362046,0.0885998089130788,0.5752212389380531,-0.7683396976187375,0.0017255018577788943,0.021741323408014067,0.2757700052827583,0.07883860822978844,0.5707964601769911,-0.7698093341279273,0.0008708827377685113,0.010973122495883243,0.2757613829171939,0.039792092641116,0.5619469026548672,-0.7936536429154655,-0.00019739116224446693,-0.002487128644280283,0.2757519133182441,-0.009019442927345708,0.5442477876106194,-0.8259566075479235,-0.0023339389622704268,-0.029407630924607377,0.2757373358566319,-0.106650885101384,0.5221238938053098,-0.8765064606071564
1,226,1.0715798962211738,3.734513274336283,0.000870019053425202,0.010962240073157544,0.287603599532058,0.03811579580712316,0.5619469026548672,-0.7795181621652348,0.000655703074180967,0.008261858734680185,0.2875961975479344,0.02872728779142902,0.5575221238938053,-0.786914704045176,-0.00020156084279597075,-0.0025396666192292316,0.2875671424511816,-0.008831560509943775,0.5530973451327433,-0.8141158994888718,-0.001273140739017146,-0.01604157331161604,0.2875320677815039,-0.05579055385156572,0.5486725663716814,-0.843315211995241,-0.0034163005314594933,-0.04304538669638962,0.28746606767987143,-0.1497407573833233,0.5353982300884956,-0.8887395791812429
2,226,1.0686350886651967,3.756637168141593,0.0010488235528403366,0.01321517676578824,0.2958971178768389,0.044661390623239476,0.5752212389380531,-0.782070346182092,0.0008350965351072977,0.01052221634235195,0.2958866578913637,0.03556164518312021,0.5752212389380531,-0.7895233008164744,-1.9811535824857554e-05,-0.0002496253513932052,0.29584535356223474,-0.000843769720860914,0.5663716814159292,-0.8168865534132633,-0.001088446624490057,-0.013714427468574717,0.2957949286980829,-0.0463646470510419,0.5619469026548672,-0.8461712185278313,-0.0032257168018204503,-0.04064403170293767,0.2956981000439037,-0.13745110873861913,0.5575221238938053,-0.891504466830016
3,226,1.0671871311798284,3.756637168141593,0.0014363005250361948,0.018097386615456054,0.28674940420633094,0.0631122030246105,0.5530973451327433,-0.800035444764322,0.001222863098800228,0.015408075044882872,0.2867406259997834,0.053735235428043295,0.5486725663716814,-0.8068771983439444,0.0003691133938563655,0.0046508287625902055,0.2867059997672262,0.016221595524217026,0.5442477876106194,-0.8319953554185546,-0.0006980737373234626,-0.00879572909027563,0.2866638121409602,-0.030683081427629016,0.5442477876106194,-0.8588751626699369,-0.00283244799968312,-0.035688844796007306,0.28658308946095434,-0.12453227740386179,0.5309734513274337,-0.9004803887628484
4,226,1.0697736840927967,3.7035398230088497,0.00024713514655698074,0.003113902846617957,0.30091229981038015,0.010348207263645198,0.5265486725663717,-0.8506357423315966,3.318040973842157e-05,0.0004180731627041117,0.30090290465069,0.0013893955699412126,0.5265486725663717,-0.8557738060811968,-0.0008226385375358171,-0.010365245572951294,0.3008658020483433,-0.034451391625046845,0.5265486725663717,-0.8746283908242553,-0.001892412221628614,-0.023844393992520533,0.30082049970728325,-0.07926452491011281,0.5265486725663717,-0.8947881503490519,-0.004031959589814206,-0.050802690831658996,0.30073348343477097,-0.16892928001041194,0.5088495575221239,-0.9259485511241429
5,226,1.077778898175956,3.747787610619469,0.00020157653395077004,0.0025398643277797024,0.30700496788267856,0.008273039831558386,0.5442477876106194,-0.8545181123188603,-1.3979245684419712e-05,-0.00017613849562368838,0.3069940590895182,-0.0005737521310545203,0.5442477876106194,-0.8595527372470175,-0.0008762023642251845,-0.011040149789237324,0.30695088151747246,-0.035967154531885225,0.5353982300884956,-0.8780180348484458,-0.0019539812624011416,-0.024620163906254385,0.3068979395143569,-0.08022264321883021,0.5221238938053098,-0.8977426470680967,-0.004109539058753054,-0.051780192140288485,0.30679549095130737,-0.1687775526939107,0.5132743362831859,-0.9281828403955379
6,226,1.0799146357382128,3.575221238938053,0.0005236088192167671,0.006597471122131265,0.32036536456601344,0.020593584238010883,0.5530973451327433,-0.8868105486854296,0.00030762589206912523,0.003876086240070978,0.3203517624302258,0.01209946906696107,0.5530973451327433,-0.8907734157321603,-0.0005563058165214452,-0.007009453288170209,0.32029791552446657,-0.021884167671502624,0.5486725663716814,-0.9052930655334667,-0.0016362204522596558,-0.020616377698471664,0.3202318711054004,-0.0643795310794847,0.5353982300884956,-0.9207741223528957,-0.0037960497237360825,-0.04783022651907464,0.32010399959387026,-0.1494208962704587,0.5265486725663717,-0.9445929412903398
7,226,1.0763528934927717,3.601769911504425,-4.660271652065138e-06,-5.871942281602073e-05,0.3021379624710468,-0.00019434639174694142,0.5575221238938053,-0.8860589037309197,-0.00021993085035062023,-0.0027711287144178147,0.3021287208137426,-0.00917201352772473,0.5486725663716814,-0.8899104748201686,-0.0010810131651448382,-0.01362076588082496,0.3020922288525755,-0.045088104161302524,0.5442477876106194,-0.9040656471910915,-0.0021573660586376086,-0.027182812338833868,0.3020476822251271,-0.08999510321874787,0.5265486725663717,-0.9192426397793377,-0.004310071845623152,-0.05430690525485171,0.30196215203061544,-0.1798467287693248,0.5265486725663717,-0.9428073979917406
8,225,1.0703260482273043,3.7955555555555556,0.0020250408792078112,0.02551551507801842,0.28289735335885363,0.09019354467290525,0.5511111111111111,-0.8153134000690112,0.0018109756695623483,0.022818293436485587,0.28288073417632975,0.08066400669853369,0.5511111111111111,-0.8214902418399048,0.0009547148309805061,0.012029406870354377,0.28281477709388336,0.042534576849077056,0.5466666666666666,-0.8442117161435543,-0.000115611217246797,-0.0014567013373096422,0.28273350062778024,-0.005152206350061768,0.5333333333333333,-0.8686136018952902,-0.002256263313701406,-0.028428917752637718,0.2825748515605432,-0.10060668030306535,0.5288888888888889,-0.9066037427164432
9,225,1.0679887096339322,3.7866666666666666,0.00188782102301963,0.023786544890047338,0.2870081336264567,0.08287759858752196,0.5555555555555556,-0.8047690048351008,0.0016742232810928429,0.02109521334176982,0.2869915967639322,0.07350463769544409,0.5555555555555556,-0.8112752179712017,0.0008198323133856978,0.010329887148659792,0.2869260013499038,0.03600192070450452,0.5466666666666666,-0.8352155749748054,-0.0002481563962482358,-0.003126770592727771,0.2868452498712294,-0.010900548620315106,0.5377777777777778,-0.8615803538604974,-0.002384133815516099,-0.030040086075502848,0.28668789395472166,-0.10478323887735301,0.5066666666666667,-0.9024840667545091
