year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,251,1705.5498007968129,-0.040174797353965334,-0.0395984437158593,-0.30332246454994094
2007,251,1819.0278884462152,0.07604652244998897,0.07863078412586132,0.6707748591278728
2008,253,1609.9525691699605,-0.016307516802288147,-0.02496245784884413,-0.12582762393789498
2009,252,1332.6944444444443,-0.056432421385255616,-0.05296680183348214,-0.26956757257528396
2010,252,1418.8809523809523,-0.028018273906681355,-0.03994585331024971,-0.49073569228170966
2011,252,1487.5198412698412,0.00815361701241183,0.0022498680425046247,0.013179086638892223
2012,250,1393.148,0.0007596894916469495,-0.01888954552466903,-0.171783113557993
2013,252,1506.734126984127,0.031593310273389144,0.011973788639036713,0.1804751549477295
2014,252,1632.861111111111,0.01482015851889725,0.01908085219632479,0.1636245548436697
2015,252,1665.6746031746031,0.04069991652250222,0.03868403716300124,0.24866052462363236
2016,252,1608.5555555555557,-0.028736445447420614,-0.03210712627918376,-0.24277283982604386
2017,251,1653.0438247011953,0.03648274528034722,0.01765800416068455,0.1506328489559887
2018,251,1717.6254980079682,0.014428656415029965,0.01735389937984129,0.1548643363863525
2019,252,1653.5992063492063,0.007413195388341614,0.0041672937584662315,0.025368443450973194
2020,253,1704.2490118577075,0.02935102196822926,0.004304055380312841,0.020508794145065182
2021,252,1937.2896825396826,-0.0230451623979193,-0.013483750888746652,-0.11199364349770408
2022,251,1850.816733067729,0.03639217369552458,0.036137204347469434,0.19464755558779046
2023,230,1798.2608695652175,-0.0024626615018033715,-0.008998570659770572,-0.07014829458416534
