fold,model,validation_rows,mse,mae,r2_oos,mean_ic_pearson,ic_pearson_nw_tstat,mean_ic_spearman,ic_spearman_nw_tstat
8,ols,486382,0.0206777905333574,0.09108710293648262,0.00044790939418459796,0.04691366268496425,1.6396086197905684,0.06280722488084196,2.2980227212072855
2,ridge,418994,0.01145948584165987,0.07346344797564522,0.0010262062842308906,0.04412211684964029,1.6347839968431606,0.05668949949563389,2.3431012710589334
9,gbm,463511,0.020432804008815017,0.1018464415800362,0.001878428523758302,0.040029771108850476,2.4335893327650555,0.029865720580696347,2.3200006415501875
5,gbm,431290,0.011943543015115785,0.07785445293460004,0.001397521921086553,0.037671050799554864,2.8387797661794227,0.010756474642987608,0.6437134736677468
9,ols,463511,0.020460387045075225,0.10193461434066262,0.0005310254220474153,0.04513061348046987,1.4905922724819818,0.055781024096693894,1.8585526040143454
5,ridge,431290,0.011955601473135262,0.07784874985746461,0.0003893113721050723,0.02254152829855103,0.7880083515554913,0.03348489869878665,1.1006830836443873
5,ols,431290,0.011955601380380858,0.07784874983450209,0.00038931912732398377,0.02254163358952993,0.7880147455793044,0.03348495927886291,1.1006846873009453
3,gbm,405866,0.012278749909853247,0.07495740861475089,-0.003564491150360505,-0.015045392632496473,-0.812105245961894,-0.004470047273890357,-0.2770292975588528
1,gbm,410265,0.010255283441211344,0.06753396838998288,0.0017463046062008436,0.039311365246447946,2.422610822066719,0.005680084589587587,0.33809453199670625
4,ridge,415588,0.00896214112102943,0.0640249446884509,-0.00035122689589717204,-0.004230540791769695,-0.16874641663020115,0.018442549558844088,0.684035450214506
6,gbm,416451,0.012412383095088103,0.07557286200381313,0.000302057057641969,0.03163198643352414,1.7059617247913421,0.027658382658710103,1.9853586069338371
10,gbm,414494,0.016947991524723267,0.0907824354427959,0.0014596747449866498,0.044335304845536064,1.718252046372495,0.014037255287863079,0.5883438120986317
8,ridge,486382,0.020677800045490143,0.0910872004501368,0.0004474495833466374,0.04696563559001746,1.642049895762116,0.06282076141180425,2.2999980028491596
8,gbm,486382,0.02067208381284716,0.0910159384834066,0.0007237688680143961,0.034113262902969545,2.3393477013807082,0.03046981407876645,2.7221398376847006
7,gbm,430384,0.03949178161906473,0.13001407958548358,-0.001004727199319877,-0.006698767113394248,-0.4685398166524025,-0.030405623007017744,-1.6202439042063004
4,ols,415588,0.008962161641768626,0.0640248945755316,-0.0003535174140187891,-0.004251792442187578,-0.16948368968822347,0.01840729954488539,0.6822801318704789
2,gbm,418994,0.011456378133080852,0.07346063545535779,0.0012971189125846605,0.03222716430491388,3.040761899251877,0.02179503111301696,1.6337070877947737
9,ridge,463511,0.020460384833449433,0.10193457339902103,0.0005311334577049465,0.04519620509911866,1.4911298126317618,0.05585217589719155,1.8586746153643199
2,ols,418994,0.011459496083914562,0.07346353061286096,0.0010253134218315418,0.04400244265932418,1.6301615005023817,0.056570861253712884,2.340422418913944
7,ols,430384,0.03949712892232246,0.1300590444624237,-0.0011402661803250336,-0.07339584456775766,-2.265142439373145,-0.05778031427905168,-1.3805246280763526
3,ridge,405866,0.012255092493072743,0.07491320388266674,-0.001630927586679265,-0.03513673074237091,-1.212188094663467,-0.02966352900835387,-0.9687773550200743
1,ridge,410265,0.010268119363329309,0.0675350630004943,0.0004968504334807999,0.027236727553688618,0.9538575352648154,0.03030383990790682,1.144383978686073
4,gbm,415588,0.008957236084044041,0.06400196781261609,0.00019627170962965845,0.02877031088682923,2.689744427331814,0.017983220706442784,1.4292283923040774
6,ridge,416451,0.012412683065412612,0.07557598940022107,0.0002778973363334325,0.022433953846547,0.7535649537902525,0.036108862065261635,1.1695001903149902
10,ridge,414494,0.01698040525747939,0.09085621815349047,-0.0004500748086295747,0.008148967069595791,0.17266598936073788,0.01854811961132946,0.351191586968955
7,ridge,430384,0.03949703718612174,0.13005893114794334,-0.0011379409276577324,-0.0734079346248042,-2.2644686259084015,-0.05775200492362654,-1.3793345702552422
3,ols,405866,0.012255134471932005,0.07491325641524457,-0.0016343585949527561,-0.035103856502138486,-1.2115718717012425,-0.029645954931422955,-0.9685422377142126
1,ols,410265,0.010268093952623455,0.06753493677824056,0.0004993239225044022,0.027284638976884514,0.9550580007060588,0.03026886726483115,1.1425955448813225
6,ols,416451,0.01241268519305208,0.0755758807832379,0.00027772597546071864,0.022422170205475708,0.7534798360869128,0.03611532618148783,1.1702810913374304
10,ols,414494,0.0169804191296882,0.09085624509542749,-0.000450892130249958,0.008148513014235397,0.17268503946647631,0.01854444730616662,0.3511784471504188
