,0
days,501
first_date,2024-01-03
last_date,2025-12-31
mean_rank_ic,0.036353514618908664
rank_ic_hac_t,4.634902038352079
mean_gross_exposure,0.9414294992892933
annual_turnover,8.857753885182229
breakeven_bp,49.66280053779571
gross_return_annualised_return,0.08798017288253801
gross_return_annualised_volatility,0.057822109303022076
gross_return_sharpe,1.5215662995182317
gross_return_hit_rate,0.5588822355289421
gross_return_max_drawdown,-0.04103793997683447
gross_return_market_beta,-0.06515631986736849
net_return_1bp_annualised_return,0.08628189637963576
net_return_1bp_annualised_volatility,0.05788039195800706
net_return_1bp_sharpe,1.4906930216062526
net_return_1bp_hit_rate,0.5568862275449101
net_return_1bp_max_drawdown,-0.041264285414930546
net_return_1bp_market_beta,-0.06534374326613952
net_return_5bp_annualised_return,0.07919569327148998
net_return_5bp_annualised_volatility,0.057882276123137726
net_return_5bp_sharpe,1.3682200938852245
net_return_5bp_hit_rate,0.5528942115768463
net_return_5bp_max_drawdown,-0.04216914977793518
net_return_5bp_market_beta,-0.06534134792697112
net_return_10bp_annualised_return,0.07033793938630777
net_return_10bp_annualised_volatility,0.05788467612746857
net_return_10bp_sharpe,1.215139205951774
net_return_10bp_hit_rate,0.5469061876247505
net_return_10bp_max_drawdown,-0.04329906696380459
net_return_10bp_market_beta,-0.06533835375301064
net_return_20bp_annualised_return,0.0526224316159433
net_return_20bp_annualised_volatility,0.05788962543885045
net_return_20bp_sharpe,0.9090131645700327
net_return_20bp_hit_rate,0.530938123752495
net_return_20bp_max_drawdown,-0.045555029205577524
net_return_20bp_market_beta,-0.06533236540508974
gross_return_hac_t,2.7639921917235886
exposure_mom_120_20,0.44308210156742467
exposure_rev_5,0.019700402726656865
exposure_rvol_20,-0.1806985252941559
exposure_vs_20,0.06665169947452651
exposure_rmom_120_20,0.2483065836784685
exposure_dd_252,0.3551411694004199
exposure_beta_252,0.016979212301898108
exposure_log_mcap,0.01824321408449362
exposure_sector,0.08309823056441794
mean_net_exposure,-0.004689163058955359
