horizon_days,cutoff_date,weighting,days,gross_sharpe,hac_t,net_sharpe_10bp,annual_turnover,breakeven_bp
5,2023-12-21,rank,2515,0.348668421833202,1.1652494106430735,-0.03135509030144609,16.301070800243153,9.174925975715896
5,2023-12-21,decile,2515,0.3542048126834119,1.1710907155689614,-0.09243710855962517,26.70184530045633,7.9303689716103465
10,2023-12-14,rank,2515,0.3041407777949497,1.0313261875389672,0.07281216863858589,9.816836103901377,13.14772348172913
10,2023-12-14,decile,2515,0.3075512862112057,1.0230506397907326,0.04063132211430381,15.734226389240044,11.522323623584233
20,2023-11-30,rank,2515,0.2747829868413186,0.9395121223218685,0.11974843202015778,6.417256143809823,17.724596323377074
20,2023-11-30,decile,2515,0.28024685822458534,0.9399905538738089,0.10875160436771121,9.823899767084882,16.34165616033591
40,2023-11-01,rank,2515,0.2851634582844709,0.9759328003732343,0.17829715736651425,4.231487690593204,26.685982466284937
40,2023-11-01,decile,2515,0.2932223286040092,0.9870581272815192,0.1807335247116834,6.150013595913799,26.068262237063166
