name,weighting,raw_beta,neutral_beta,raw_net_sharpe_10bp,neutral_net_sharpe_10bp,raw_gross_sharpe,neutral_gross_sharpe,raw_exposure_sector,neutral_exposure_sector,beta_materially_closer_to_zero,net_sharpe_no_worse,w5_003_verdict
ols,rank,-0.22174379138617525,-0.0542824572712914,-0.17451134268528656,-0.37323038911917955,0.006400841974977708,0.07315345762154365,0.21682645371600193,0.02670498714965845,True,False,FAIL
ols,decile,-0.3291872360783958,-0.07455666671030972,-0.19417029601974292,-0.30713558660566936,-0.011131993064740565,0.10157141311957521,0.3123558814419238,0.06707255470634836,True,False,FAIL
ridge,rank,-0.2218609209742611,-0.054277797844341016,-0.174018472961151,-0.37267712912776113,0.006803534889020485,0.07390756641604015,0.21692574319843402,0.026697138579874026,True,False,FAIL
ridge,decile,-0.3294846043398253,-0.0744907231626275,-0.19595488338332395,-0.3055926683477813,-0.01294771485665925,0.10327180809883127,0.312487794775324,0.0671056675544316,True,False,FAIL
gbm,rank,-0.0737299550980992,0.021431708442372927,-0.2271234974476064,-0.5411132892665185,0.1869425414678607,0.10115272325812541,0.14978505295550648,0.08616077847239237,True,False,FAIL
gbm,decile,-0.13503123900313616,-0.0031249494116546398,-0.0334892266608605,-0.25519072636232704,0.30391944345270616,0.3867269776552466,0.18930082379617963,0.1159888402005971,True,False,FAIL
composite,rank,-0.18865765781140367,-0.04124963872369411,0.11974843202015777,0.024248388398827595,0.2747829868413185,0.336970445849897,0.211407737102115,0.032028382123391874,True,False,FAIL
composite,decile,-0.27062998784056713,-0.0556945184429067,0.10875160436771132,0.1248885988799728,0.28024685822458545,0.46258283227312375,0.27908759177843045,0.08087079784128952,True,True,PASS
