book,dropped,weighting,gross_sharpe,hac_t,net_sharpe_1bp,net_sharpe_5bp,net_sharpe_10bp,net_sharpe_20bp,breakeven_bp,annual_turnover,beta,max_drawdown,mean_rank_ic,rank_ic_hac_t
drop_mom_120_20__neutral,mom_120_20,rank,0.37891702925622084,1.1770884781515254,0.3394376732907823,0.18152372317465246,-0.01586046203648216,-0.410598560603568,9.598224745676509,7.1064591048024415,-0.04797677751165213,-0.11702866423326597,0.012434595999487265,2.0915181384355086
drop_mom_120_20__neutral__decile,mom_120_20,decile,0.4501169579918833,1.3515649670296164,0.4102307423071219,0.25068915808688996,0.05127002328469895,-0.3475391264540444,11.285521538164994,10.626066879441005,-0.0661664716184056,-0.17455848820041753,0.012434595999487265,2.0915181384355086
drop_rev_5__neutral,rev_5,rank,0.2211355387995517,0.7346688732728939,0.1950843975463359,0.09088332279306036,-0.03935987453412399,-0.29981726040701656,8.488947775920794,5.93026201493946,-0.056525347928785365,-0.1318605828215731,0.008045254681965989,1.1188085670325625
drop_rev_5__neutral__decile,rev_5,decile,0.3304471288425712,1.0715455335990058,0.3022222732256378,0.189328156542573,0.04822266721342778,-0.23394640661309354,11.708857114939919,9.161658667432626,-0.08184616438438524,-0.17576146701424877,0.008045254681965989,1.1188085670325625
drop_rvol_20__neutral,rvol_20,rank,0.29466704261497806,1.0144442620666643,0.26371295842008907,0.13989957112193263,-0.014860151599833215,-0.32435385102143,9.519884603631404,6.406335347362313,-0.02337116608538461,-0.10532628893542584,0.005394680666578604,0.8503708237812164
drop_rvol_20__neutral__decile,rvol_20,decile,0.4300920380048693,1.4431417615036053,0.3955586702385401,0.2574294081689244,0.08477764777948324,-0.26049095246958803,12.45528347360058,9.949868161364561,-0.025328616990549554,-0.14067811520943918,0.005394680666578604,0.8503708237812164
drop_vs_20__neutral,vs_20,rank,0.29504090552745177,0.9797995887912899,0.26835709800849533,0.16162417780940513,0.028213580691978997,-0.23858684967171195,11.057428070806171,5.89514795869016,-0.04492811923794062,-0.12082673572914726,0.00955284153794847,1.3601906066975442
drop_vs_20__neutral__decile,vs_20,decile,0.4480393298481262,1.4316657445190726,0.41872655108919177,0.3014792556392685,0.154928979576918,-0.1381405175481082,15.286243720278332,9.07240011259614,-0.06138012743815103,-0.16980591023470692,0.00955284153794847,1.3601906066975442
drop_rmom_120_20__neutral,rmom_120_20,rank,0.41784310658142404,1.3416000119024034,0.3840492182791095,0.24887781958653535,0.07992324793997653,-0.25795155641611023,12.365344074935864,6.868347878085044,-0.04441000220501839,-0.10685721295511863,0.014328328969476258,2.162439816478859
drop_rmom_120_20__neutral__decile,rmom_120_20,decile,0.48695052307420417,1.5093513269852665,0.45118421266422243,0.308123487324079,0.12930808642920322,-0.22828551763543095,13.615898282994971,10.444654674171343,-0.057074157407816975,-0.1702126178653125,0.014328328969476258,2.162439816478859
drop_dd_252__neutral,dd_252,rank,0.44045081496673427,1.4421652795817617,0.39536400144948797,0.2150175359054235,-0.010413110372903857,-0.46126209513420013,9.769037964455007,7.290957080453387,-0.022236502205757784,-0.08898476362196384,0.00849815263486191,1.6337844131647439
drop_dd_252__neutral__decile,dd_252,decile,0.5721158674380784,1.8421516798984943,0.5253219895355405,0.3381475523867071,0.104182627760079,-0.36373235554527916,12.226488154239357,10.898961192353262,-0.028750355120383504,-0.11772676094604584,0.00849815263486191,1.6337844131647439
