,ols,ols__decile,ols__neutral,ols__neutral__decile,ridge,ridge__decile,ridge__neutral,ridge__neutral__decile,gbm,gbm__decile,gbm__neutral,gbm__neutral__decile,composite,composite__decile,composite__neutral,composite__neutral__decile
days,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_rank_ic,0.022368634494924444,0.022368634494924444,0.010343538600682203,0.010343538600682203,0.022397983908609823,0.022397983908609823,0.010365122505054721,0.010365122505054721,0.012652162999647741,0.012652162999647741,-1.7319607838049806e-05,-1.7319607838049806e-05,0.025125748138103608,0.025125748138103608,0.00987022894331442,0.00987022894331442
rank_ic_hac_t,2.0186448328882873,2.0186448328882873,1.9127655373405028,1.9127655373405028,2.0207502705730858,2.0207502705730858,1.917036199272864,1.917036199272864,2.4154317963524825,2.4154317963524825,-0.004057214749995819,-0.004057214749995819,2.2835075135040737,2.2835075135040737,1.4995473731163222,1.4995473731163222
mean_gross_exposure,0.8292794116501125,0.9821834270138193,0.7457985398153633,0.9508663077748827,0.8294552791977341,0.9821714461231175,0.7458759686768013,0.9508725290926905,0.7275435650129604,0.8577139715249701,0.7330778680879211,0.842362992886377,0.9024343817674586,0.9890957805147432,0.8571660644145263,0.9852696816769755
annual_turnover,6.552359406356262,10.0764998198274,7.251725814952431,10.679475614409075,6.552315798872963,10.076842024130118,7.252526492986652,10.67954362515786,7.122354998527323,10.396587810304199,6.9778761005905405,10.299539586984412,6.417256143809823,9.823899767084882,6.433355316695822,9.862707390003251
breakeven_bp,0.35379970911234115,-0.6081636619197854,1.6388093109741222,2.485215957983889,0.37624568639763856,-0.7074801475172022,1.654958409068048,2.525848802096244,4.51444209383431,9.00737544261272,1.5747266701088445,6.024190493463286,17.72459632337707,16.341656160335912,10.775441958354833,13.69860460868297
positions_without_return_per_day,7.716898608349901,7.717296222664016,7.717296222664016,7.717296222664016,7.717296222664016,7.717296222664016,7.717296222664016,7.717296222664016,7.717296222664016,7.707753479125248,7.716898608349901,7.717296222664016,7.717296222664016,7.68986083499006,7.717296222664016,7.717296222664016
gross_return_annualised_return,0.0004636445703936715,-0.0012256322059520583,0.0023768391572350895,0.005308160643965846,0.0004930561110482099,-0.0014258331363478235,0.002400525941311412,0.0053949824945079125,0.00643069184251659,0.01872919394590016,0.0021976495192630057,0.012409277693392055,0.0227486549305481,0.03210775842946104,0.013864449362505861,0.027021065781358027
