offset,rebalances,mean_turnover,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,1.7375079895969998,-0.004039502386003518,-0.05089773006364432,0.16136596981131776,-0.3154179913098041,0.4690265486725664,-0.70190754289637,-0.0043870039839229175,-0.05527625019742876,0.16136660080078669,-0.3425507504224461,0.4690265486725664,-0.7229474604711986,-0.005777010375600518,-0.07279033073256652,0.16136934749009582,-0.45107904236295,0.4646017699115044,-0.7959615968583712,-0.007514518365197518,-0.09468293140148872,0.1613732819754404,-0.5867323899125918,0.42920353982300885,-0.8620339533504774,-0.010989534344391517,-0.13846813273933312,0.16138282119716743,-0.8580103614012388,0.38495575221238937,-0.9375537122335207
1,226,1.7303105151447438,-0.003915877073296043,-0.04934005112353014,0.16209733788544528,-0.3043853265400257,0.47345132743362833,-0.677825160510811,-0.00426193917632499,-0.053700433621694875,0.1620899752076247,-0.331300153219894,0.46017699115044247,-0.7022030414209615,-0.005646187588440785,-0.07114196361435389,0.16206080187825633,-0.4389831642805107,0.4336283185840708,-0.7826722683982993,-0.0073764981035855295,-0.09294387610517767,0.1620249596057186,-0.5736392487389163,0.4247787610619469,-0.8534995724788494,-0.010837119133875018,-0.13654770108682523,0.16195535809804348,-0.8431193798735752,0.3805309734513274,-0.9335671625794754
2,226,1.7387960379483358,-0.0007377190960894147,-0.009295260610726625,0.1713315304408937,-0.05425306472665476,0.4911504424778761,-0.47933987310664117,-0.0010854783036790825,-0.013677026626356439,0.1713264341028118,-0.07983021824961904,0.4911504424778761,-0.4987738536302996,-0.00247651513403775,-0.031204090688875648,0.17130628086087799,-0.18215380388893773,0.4646017699115044,-0.6011931190127042,-0.004215311171986086,-0.05311292076702469,0.17128161170976092,-0.31009120148300146,0.46017699115044247,-0.70752573436379,-0.007692903247882758,-0.09693058092332274,0.1712340156917676,-0.5660708272928909,0.42035398230088494,-0.8664495079826078
3,226,1.7346491268325068,0.0027536578916882216,0.03469608943527159,0.18030917978812908,0.19242552972644528,0.4823008849557522,-0.4926232218715232,0.002406728066321722,0.030324773635653696,0.1802996623122007,0.168190961906209,0.4778761061946903,-0.49964344892856727,0.0010190087648557162,0.012839510437182023,0.1802618284188508,0.07122700657040122,0.46017699115044247,-0.5359552459341936,-0.0007156403619767906,-0.009017068560907561,0.18021506735349033,-0.05003504253737374,0.4469026548672566,-0.6183640681835538,-0.004184938615641805,-0.05273022655708674,0.18012331796767453,-0.29274514344972186,0.41150442477876104,-0.7931554071004357
4,226,1.7399036941425643,0.004762170304045747,0.06000334583097641,0.16381317519191077,0.3662913301123745,0.5309734513274337,-0.37111857631491574,0.004414189565217235,0.055618788521737156,0.16380962164004254,0.33953309924587116,0.5221238938053098,-0.3722916773620615,0.003022266609903184,0.038080559284780116,0.16379566639138685,0.23248819778776872,0.5088495575221239,-0.3818200268981716,0.0012823629157606192,0.016157772738583803,0.16377880511110163,0.09865606680683103,0.4823008849557522,-0.42310103665398713,-0.0021974444725245093,-0.027687800353808818,0.16374702590367954,-0.16908887475058962,0.4336283185840708,-0.59475048225287
5,226,1.7408995191259378,0.005483546692518906,0.06909268832573821,0.16996732244147122,0.4065057172947494,0.504424778761062,-0.321820760728178,0.005135366788693717,0.06470562153754084,0.16997005855516983,0.38068835233435144,0.504424778761062,-0.32286587882304774,0.0037426471733929666,0.047157354384751375,0.1699812332674282,0.2774268281167229,0.4911504424778761,-0.34773056650381495,0.002001747654267029,0.025222020443764565,0.16999571965120366,0.14836856184093916,0.4646017699115044,-0.39652806023433307,-0.0014800513839848472,-0.018648647438209074,0.1700264184979093,-0.10968088137690428,0.42920353982300885,-0.5807125152810015
6,226,1.7382408733532548,0.007345840492330251,0.09255759020336117,0.16927019991764755,0.5468038098164462,0.5309734513274337,-0.3237351161499935,0.0069981923176595994,0.08817722320251095,0.16927067362119091,0.5209243947350375,0.5309734513274337,-0.3261792356355925,0.005607599618976996,0.07065575519911015,0.1692728212923809,0.41740755934508916,0.5,-0.3496486941828766,0.0038693587456237405,0.04875392019485913,0.16927607479076018,0.2880142409677397,0.49557522123893805,-0.3921454242687815,0.00039287699891723014,0.0049502501863571,0.1692844780055886,0.029242197776654263,0.46017699115044247,-0.5100114621340169
7,226,1.734826288625283,0.006316064562584638,0.07958241348856644,0.17366617873071394,0.4582493498170799,0.5353982300884956,-0.26829998214652095,0.0059690993048595814,0.07521065124123072,0.1736696836364742,0.4330672438988364,0.5353982300884956,-0.2749144130674761,0.004581238273959355,0.05772360225188787,0.17368393579091254,0.332348538677623,0.5176991150442478,-0.30080190209419877,0.0028464119853340714,0.0358647910152093,0.1737022740715846,0.20647277767030864,0.48672566371681414,-0.33735319427295296,-0.0006232405919164953,-0.00785283145814784,0.17374069355234506,-0.04519857321613557,0.4469026548672566,-0.5659715275055529
8,226,1.739521434323745,0.0021280596857505903,0.026813552040457437,0.1473810650425038,0.1819334935103405,0.5398230088495575,-0.4554876994243866,0.0017801553988858409,0.022429958025961594,0.14738346057428672,0.1521877552512486,0.5309734513274337,-0.4636590834422507,0.00038853825142684534,0.004895581967978251,0.14739331953350246,0.03321440879052519,0.5176991150442478,-0.49516361117701824,-0.0013509831828969,-0.01702238810450094,0.1474062659993926,-0.11547940644918775,0.4823008849557522,-0.5324314519855902,-0.004830026051544391,-0.06085832824945932,0.14743423411694156,-0.41278288325619034,0.4557522123893805,-0.7439339391480975
9,225,1.7369476683691554,0.0006046203552356912,0.007618216475969709,0.14599769443770566,0.052180388911691016,0.49777777777777776,-0.4507523919792211,0.00025723082156185967,0.0032411083516794316,0.14600204682224843,0.022199061055803895,0.49777777777777776,-0.4595416259081756,-0.0011323273131334647,-0.014267324145481656,0.14601970725585858,-0.09770820948491679,0.47555555555555556,-0.49334321670598813,-0.002869274981502619,-0.036152864766932996,0.14604234714097744,-0.2475505596471547,0.4533333333333333,-0.6006260716472709,-0.0063431703182409305,-0.07992394600983573,0.14608950693789838,-0.547088888757841,0.4311111111111111,-0.8139630755263898
