date,gross_return,turnover,net_return_1bp,net_return_5bp,net_return_10bp,net_return_20bp,offset
2006-01-03,0.023597405666302317,1.0,0.02339740566630232,0.022597405666302316,0.02159740566630232,0.019597405666302317,0
2006-02-01,-0.0005540605964732687,1.7158220190885871,-0.0008972250002909862,-0.002269882615561856,-0.003985704634650443,-0.007417348672827617,0
2006-03-02,-0.0032253040904143206,1.7823973727422004,-0.0035817835649627604,-0.005007701463156521,-0.006790098835898721,-0.010354893581383123,0
2006-03-30,-0.009163714892364776,1.7768144499178982,-0.009519077782348355,-0.010940529342282674,-0.012717343792200572,-0.016270972692036367,0
2006-04-28,-0.025096953788538864,1.8386818151617832,-0.025464690151571222,-0.026935635603700648,-0.02877431741886243,-0.032451681049186,0
2006-05-26,0.018738099765925026,1.7759399912121023,0.018382911767682607,0.016962159774712923,0.01518621978350082,0.011634339801076615,0
2006-06-26,0.00851139838997492,1.6861778921599395,0.008174162811542932,0.006825220497814981,0.005139042605655042,0.0017666868213351622,0
2006-07-25,0.028052001239101818,1.7349345558434655,0.027705014327933125,0.026317066683258353,0.024582132127414887,0.021112263015727956,0
2006-08-22,-0.033391452116700825,1.8527323355377654,-0.03376199858380838,-0.03524418445223859,-0.03709691678777636,-0.040802381458851886,0
2006-09-20,-0.00047986453530745113,1.7435129740518958,-0.0008285671301178302,-0.0022233775093593467,-0.003966890483411242,-0.007453916431515034,0
2006-10-18,-0.028186045946498074,1.7193113772455089,-0.028529908221947176,-0.029905357323743584,-0.031624668700989095,-0.03506329145548011,0
2006-11-15,0.00804813424162304,1.7168400102722137,0.007704766239568597,0.006331294231350826,0.0046144542210786125,0.0011807742005341846,0
2006-12-14,-0.015048883543366056,1.8016178736517718,-0.01540920711809641,-0.016850501417017827,-0.0186521192906696,-0.022255355037973143,0
2007-01-17,0.004756797607891296,1.7984187097202842,0.004397113865947239,0.0029583788981710113,0.001159960188450727,-0.0024368772309898415,0
2007-02-14,-0.03284772636733809,1.7053800719054957,-0.03318880238171919,-0.034553106439243586,-0.03625848651114908,-0.03966924665496008,0
2007-03-15,-0.032068952574571354,1.6708805579773325,-0.03240312868616682,-0.033739833132548684,-0.03541071369052602,-0.03875247480648068,0
2007-04-13,0.007135729304523225,1.7572798605056672,0.006784273332422091,0.0053784494440175575,0.0036211695835118903,0.00010660986250055592,0
2007-05-11,-0.0017997404222637224,1.7795698924731183,-0.002155654400758346,-0.003579310314736841,-0.005358880207209959,-0.008918019992156197,0
2007-06-11,-0.026947369487365674,1.7258064516129035,-0.027292530777688256,-0.028673175938978578,-0.03039898239059148,-0.03385059529381729,0
2007-07-10,-0.006972144806846201,1.7637916781482503,-0.007324903142475851,-0.008735936484994452,-0.010499728163142702,-0.014027311519439204,0
2007-08-07,0.034696843263690706,1.741520217937076,0.034348539220103294,0.03295532304575363,0.031213802827816554,0.0277307623919424,0
2007-09-05,0.002902797488113825,1.6846322311842314,0.0025658710418769784,0.0012181652569295935,-0.0004664669742546379,-0.0038357314366231007,0
2007-10-03,0.012549349611871796,1.7675337855883768,0.01219584285475412,0.010781815826283419,0.009014282040695043,0.0054792144695182884,0
2007-10-31,0.0026023209923203582,1.698051948051948,0.0022627106027099685,0.0009042690442684102,-0.0007937829037835378,-0.004189886799887434,0
2007-11-29,0.01745454745798661,1.7534994664490615,0.017103847564696798,0.01570104799153755,0.013947548525088487,0.010440549592190365,0
2007-12-28,0.08851730407292532,1.7313100244805724,0.08817104206802921,0.08678599404844475,0.08505468402396418,0.08159206397500303,0
2008-01-29,0.00975733334530638,1.795,0.00939833334530638,0.007962333345306381,0.006167333345306381,0.002577333345306381,0
2008-02-27,-0.018972675493287912,1.6183766233766232,-0.019296350817963236,-0.020591052116664534,-0.022209428740041157,-0.025446181986794405,0
2008-03-27,-0.0031280792543659014,1.749626002991976,-0.0034780044549642965,-0.004877705257357878,-0.006627331260349853,-0.010126583266333805,0
2008-04-24,-0.025990254409311547,1.7243550051599585,-0.026335125410343538,-0.027714609414471507,-0.029438964419631463,-0.03288767442995138,0
2008-05-22,-0.07240051424112198,1.744575936883629,-0.07274942942849871,-0.07414509017800561,-0.07588966611488925,-0.0793788179886565,0
2008-06-20,-0.0006718034824237549,1.7330938292476752,-0.00101842224827329,-0.0024048973116714304,-0.004137991140919105,-0.007604178799414456,0
2008-07-21,-0.18448230009974048,1.793978419770275,-0.18484109578369454,-0.18627627851951076,-0.18807025693928103,-0.19165821377882158,0
2008-08-18,0.018162039314886035,1.728785241907414,0.017816282266504554,0.01643325407297862,0.014704468831071207,0.01124689834725638,0
2008-09-16,-0.059140837466677705,1.769718064740689,-0.059494781079625844,-0.060910555531418394,-0.06268027359615909,-0.06621970972564047,0
2008-10-14,-0.052167786136970866,1.7229038854805725,-0.05251236691406698,-0.05389069002245144,-0.05561359390793201,-0.059059401678893154,0
2008-11-11,0.037794343472214734,1.7663031129288798,0.03744108284962896,0.036028040359285855,0.03426173724635698,0.030729131020499213,0
2008-12-10,0.029495978431719055,1.8854573484069888,0.029118886962037658,0.027610521083312068,0.025725063734905077,0.0219541490380911,0
2009-01-09,-0.011797786229733532,1.7798982188295165,-0.012153765873499435,-0.01357768444856305,-0.015357582667392565,-0.018917379105051597,0
2009-02-09,-0.017708036335165853,1.7021407480314958,-0.018048464484772153,-0.01941017708319735,-0.021112317831228845,-0.024516599327291836,0
2009-03-10,0.1913286813415425,1.7055238095238097,0.19098757657963772,0.18962315753201867,0.18791763372249487,0.18450658610344725,0
2009-04-07,-0.34730196953846604,1.8878709677419354,-0.34767954373201443,-0.349189840506208,-0.3510777114739499,-0.3548534534094338,0
2009-05-06,0.00885230257337489,1.5678402747960498,0.008538734518415681,0.007284462298578841,0.005716622023782791,0.002580941474190691,0
2009-06-04,0.031116622738612872,1.7707605344295994,0.030762470631726952,0.02934586220418327,0.027575101669753674,0.024033580600894475,0
2009-07-02,-0.04320369628273845,1.7493319630010276,-0.04355356267533866,-0.044953028245739476,-0.04670236020874051,-0.05020102413474256,0
2009-07-31,-0.037196838454704964,1.7490740740740738,-0.03754665326951978,-0.03894591252877904,-0.04069498660285311,-0.044193134751001256,0
2009-08-28,0.02464487159953475,1.7153284671532845,0.024301805906104094,0.022929543132381467,0.02121421466522818,0.017783557730921613,0
2009-09-28,-0.012498505035742439,1.7307204062202475,-0.012844649116986488,-0.014229225441962687,-0.015959945848182933,-0.01942138666062343,0
2009-10-26,0.002535359752036163,1.7860688956433637,0.00217814597290749,0.0007492908563927992,-0.0010367780392505645,-0.004608915830537292,0
2009-11-23,0.006372710696124998,1.7291793313069908,0.0060268748298635995,0.004643531364818008,0.0029143520335110167,-0.0005440066291029647,0
2009-12-22,0.0386409723653504,1.7724417426545087,0.0382864840168195,0.03686853062269589,0.035096088880041384,0.031551205394732364,0
2010-01-22,0.005370566210130833,1.7687415285163177,0.005016817904427569,0.0036018246816145153,0.0018330831530981974,-0.0017043999039344383,0
2010-02-22,0.009256428301357025,1.770452209660843,0.008902337859424856,0.007485976091696182,0.005715523882035339,0.002174619462713653,0
2010-03-22,0.02567553290753309,1.8068965517241378,0.025314153597188263,0.023868636355808954,0.022061739804084816,0.01844794670063654,0
2010-04-20,-0.016200220367970006,1.6275862068965519,-0.016525737609349316,-0.01782780657486656,-0.01945539278176311,-0.022710565195556212,0
2010-05-18,0.03964812554941649,1.6864690511187328,0.039310831739192746,0.03796165649829776,0.03627518744717902,0.032902249344941556,0
2010-06-16,0.03887507917192479,1.8659970602645761,0.03850187975987187,0.03700908211166021,0.035143085051395635,0.031411090930866484,0
2010-07-15,0.012255775381245417,1.6251514304351877,0.011930745095158379,0.01063062395081023,0.009005472520375042,0.005755169659504666,0
2010-08-12,-0.008734160169173565,1.7668564578963144,-0.009087531460752828,-0.01050101662706988,-0.012267873084966194,-0.015801586000758823,0
2010-09-10,0.0032266889509021865,1.79136690647482,0.0028684155696072225,0.0014353220444273665,-0.0003560448620474536,-0.003938778674997093,0
2010-10-08,0.015876423286378855,1.753623188405797,0.015525698648697695,0.014122800097973058,0.012369176909567261,0.008861930532755666,0
2010-11-05,-0.039746794704903,1.747414557273712,-0.04009627761635774,-0.04149420926217671,-0.043241623819450424,-0.04673645293399785,0
2010-12-06,-0.014273901743289293,1.6071604451886143,-0.014595333832327017,-0.015881062188477908,-0.017488222633666523,-0.02070254352404375,0
2011-01-04,-0.02956829052666666,1.6128352490421456,-0.029890857576475086,-0.031181125775708803,-0.03279396102475095,-0.036019631522835244,0
2011-02-02,-0.04804213754993829,1.6861297539149889,-0.048379363500721285,-0.049728267303853275,-0.05141439705776826,-0.054786656565598245,0
2011-03-03,-0.0020398582600864735,1.6198830409356726,-0.002363834868273608,-0.003659741301022146,-0.005279624341957818,-0.008519390423829164,0
2011-03-31,-0.005935530099080899,1.6722566219470243,-0.006269981423470304,-0.007607786721027923,-0.009280043342974949,-0.012624556586868996,0
2011-04-29,0.0030230232607862915,1.85577915376677,0.0026518674300329377,0.0011672441070195215,-0.0006885350467472485,-0.004400093354280789,0
2011-05-27,0.017013891821365115,1.8261744966442954,0.016648656922036254,0.01518771732472082,0.013361542828076525,0.009709193834787933,0
2011-06-27,-0.004972477218825846,1.7419354838709675,-0.005320864315600039,-0.006714412702696813,-0.008456348186567781,-0.011940219154309716,0
2011-07-26,0.04018712565776693,1.7741935483870968,0.03983228694808951,0.03841293210937983,0.036638738560992735,0.03309035146421854,0
2011-08-23,-0.012496117689780185,1.8345964685963074,-0.012863036983499446,-0.014330714158376494,-0.016165310626972802,-0.019834503564165416,0
2011-09-21,-0.003237690966720357,1.6693541885027814,-0.0035715618044209136,-0.004907045155223139,-0.006576399343725919,-0.009915107720731483,0
2011-10-19,-0.0257252335312547,1.7609262883235488,-0.02607741878891941,-0.02748615981957825,-0.029247086107901797,-0.032768938684548894,0
2011-11-16,-0.02849845737829103,1.685770198490355,-0.0288356114179891,-0.030184227576781384,-0.03186999777527174,-0.03524153817225245,0
2011-12-15,0.09579148905109605,1.6925729195787904,0.09545297446718029,0.09409891613151726,0.09240634321193847,0.08902119737278089,0
2012-01-17,-0.0243440476382457,1.6879432624113475,-0.02468163629072797,-0.026031990900657047,-0.027719934163068394,-0.03109582068789109,0
2012-02-14,-0.016910898327449183,1.7212024087024085,-0.017255138809189663,-0.01863210073615159,-0.020353303144854,-0.023795707962258817,0
2012-03-14,0.013570083993069238,1.7559293987865416,0.013218898113311929,0.011814154594282696,0.010058225195496154,0.006546366397923072,0
