offset,rebalances,mean_turnover,mean_names_without_target,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,0.9551118160036951,3.004424778761062,0.002731317499980747,0.03441460049975741,0.21169802688597975,0.16256457845161243,0.588495575221239,-0.6700624420836186,0.002540295136780009,0.032007718723428114,0.21171276841643685,0.15118464022193154,0.588495575221239,-0.6721883214303486,0.0017762056839770537,0.022380191618110876,0.2117722206653561,0.10568048796860949,0.584070796460177,-0.681645462512952,0.000821093867973358,0.01034578273646431,0.2118476289925577,0.04883596189234557,0.584070796460177,-0.694887183254316,-0.0010891297640340314,-0.013723035026828796,0.21200208408544255,-0.06473066095566327,0.5530973451327433,-0.7233112161333829
1,226,0.956680429680113,3.017699115044248,0.0031606463330272937,0.0398241437961439,0.21931543266272904,0.18158386444873156,0.5929203539823009,-0.6130259325013798,0.0029693102470912712,0.037413309113350016,0.21933034333391316,0.17057972255298579,0.5929203539823009,-0.6167752853689701,0.0022039659033471805,0.027769970382174474,0.21939047530003855,0.12657783043769905,0.588495575221239,-0.63142117099851,0.0012472854736670677,0.01571579696820505,0.21946674038428485,0.0716090143804332,0.5752212389380531,-0.6489616284458194,-0.0006660753856931593,-0.008392549859733808,0.21962293277917058,-0.038213449540683724,0.5530973451327433,-0.6816317199807229
2,226,0.9590059988734702,3.017699115044248,0.0027852745917727522,0.03509445985633668,0.21928541695996054,0.16004009907665043,0.6017699115044248,-0.6097618305551364,0.0025934733919980592,0.032677764739175545,0.21929583213436707,0.14901224716005185,0.5973451327433629,-0.6130609062146108,0.0018262685928992829,0.023010984270530964,0.21933795937341263,0.10491108942686861,0.5929203539823009,-0.6278783463277752,0.0008672625940258105,0.010927508684725211,0.21939166763426726,0.049808221080399964,0.584070796460177,-0.6456226908546016,-0.0010507494037211296,-0.013239442486886232,0.21950257825647004,-0.0603156582125294,0.5619469026548672,-0.6862340875793456
3,226,0.9599511292895809,3.0398230088495577,0.0034296994024771493,0.04321421247121208,0.21361047195973992,0.20230381064537348,0.6061946902654868,-0.6303096663612965,0.0032377091766192328,0.04079513562540233,0.21361889772693976,0.19097156693294556,0.5973451327433629,-0.6332029791157037,0.0024697482731875662,0.031118828242163332,0.21365308059573024,0.1456512031345137,0.5973451327433629,-0.6445581205864372,0.001509797143897987,0.019023444013114635,0.21369688829756386,0.08902068796914486,0.584070796460177,-0.660615755425691,-0.00041010511468117544,-0.00516732444498281,0.2137880979301528,-0.024170309268905323,0.5707964601769911,-0.692106376981954
4,226,0.9591829666783895,3.0265486725663715,0.002264040168706225,0.028526906125698432,0.21408638361001409,0.13324951192441958,0.5796460176991151,-0.5686983504494376,0.002072203575370548,0.026109765049668904,0.21408692782524247,0.12195870768430153,0.5752212389380531,-0.5698041978460748,0.001304857202027835,0.01644120074555072,0.21408951382193211,0.07679591798795718,0.5752212389380531,-0.5849574867484382,0.0003456742353494453,0.004355495365403011,0.21409366684373374,0.02034387765697933,0.5575221238938053,-0.6043322479487928,-0.0015726916980073331,-0.019815915394892396,0.21410504106425537,-0.0925523065519294,0.5309734513274337,-0.663899574045461
5,226,0.9588104480952816,3.0265486725663715,0.0018278077173368,0.02303037723844368,0.21624570987231312,0.1065009671268968,0.5663716814159292,-0.5909059480552286,0.0016360456277177435,0.02061417490924357,0.2162508563865846,0.09532528681593881,0.5663716814159292,-0.5919681344988231,0.0008689972692415186,0.010949365592443134,0.21627185137035704,0.050627788697719965,0.5530973451327433,-0.5961920649785993,-8.981317885376333e-05,-0.0011316460535574179,0.21629901496010784,-0.005231859487506812,0.5442477876106194,-0.6106688712328922,-0.002007434075044326,-0.025293669345558507,0.21635640686035795,-0.11690742008802034,0.5309734513274337,-0.678597597422901
6,226,0.9609880911658306,3.0088495575221237,0.0013772616267326175,0.01735349649683098,0.22941153143584728,0.07564352318394126,0.588495575221239,-0.6760376704629971,0.001185064008499452,0.014931806507093096,0.22942174353715614,0.0650845306851868,0.588495575221239,-0.6792197612586904,0.00041627353556678774,0.005245046548141525,0.22946304631608203,0.02285791386608086,0.584070796460177,-0.6916455699534243,-0.0005447145555990429,-0.00686340340054794,0.22951569666857816,-0.029903851894098252,0.5663716814159292,-0.7065180681802534,-0.0024666907379307036,-0.031080303297926864,0.2296244006492945,-0.13535279007824536,0.5442477876106194,-0.7555262106186574
7,226,0.9626486695257808,3.0929203539823007,0.0008391770764617057,0.010573631163417491,0.2258139123916013,0.04682453375627691,0.5663716814159292,-0.6740657366291185,0.0006466473425565484,0.00814775651621251,0.22582763903768666,0.03607953637089034,0.5663716814159292,-0.6772734381404052,-0.00012347159306407487,-0.0015557420726073432,0.22588296700116678,-0.006887381077296136,0.5619469026548672,-0.6897986042476862,-0.0010861202625898558,-0.013685115308632182,0.22595307447641916,-0.06056618322341255,0.5442477876106194,-0.71661003169903,-0.003011417601641416,-0.03794386178068184,0.2260964440916331,-0.16782157690770155,0.5265486725663717,-0.7890617967750028
8,225,0.9628583340325285,3.08,0.002213501123116888,0.027890114151272787,0.22300937330475942,0.12506251974063354,0.5644444444444444,-0.5825058506595722,0.0020209294563103817,0.02546371114951081,0.22300892370085773,0.11418247631950199,0.56,-0.5856909456752571,0.0012506427890843596,0.01575809914246293,0.22300749877169693,0.07066174558818412,0.5422222222222223,-0.6014686368715939,0.0002877844550518311,0.0036260841336530716,0.22300655796676563,0.016259988794560306,0.5333333333333333,-0.6558764544607858,-0.0016379322130132263,-0.02063794588396665,0.22300747757683728,-0.09254373937688185,0.5155555555555555,-0.7435364473354535
9,225,0.9590898084226708,2.9955555555555557,0.0024826860994312896,0.03128184485283425,0.23171976423419302,0.13499860469915945,0.5733333333333334,-0.6088170803367058,0.0022908681377467543,0.028864938535609102,0.231712309360746,0.12457231389753293,0.5733333333333334,-0.6118262317743217,0.0015235962910086188,0.019197313266708597,0.23168289113121948,0.0828602974219435,0.5644444444444444,-0.6390890682748652,0.000564506482585949,0.007112781680582957,0.23164702147398042,0.03070525852361065,0.5288888888888889,-0.6879383395743207,-0.0013536731342593936,-0.01705628149166836,0.2315782943487723,-0.0736523323122005,0.52,-0.7667982874844075
