year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,251,1568.4382470119522,-0.022531949014439688,-0.016219436418226225,-0.1935159177107331
2007,251,1811.3904382470118,0.050872095933519976,0.05531265469030614,0.6717425346758571
2008,253,1604.5494071146245,-0.031197224835374626,-0.039855682920158536,-0.34503572154320183
2009,252,1329.095238095238,0.0016773850563482635,0.007273607498606127,0.06148642938025746
2010,252,1413.420634920635,-0.04260321827181651,-0.04964526848041567,-0.6092862629125652
2011,252,1480.4126984126983,-0.0005708832733298285,-0.006834474374186932,-0.05255539767294186
2012,250,1387.072,-0.008426512426662197,-0.025853076092589387,-0.32316376196199076
2013,252,1499.392857142857,0.007189390619910409,-0.009147460260830433,-0.14215890974120698
2014,252,1622.154761904762,0.022911549166669397,0.02143993258660155,0.2627249627761283
2015,252,1654.4722222222222,0.003822857801618009,0.0026752675217858075,0.02293877684177863
2016,252,1601.4722222222222,-0.0007165752576361195,-0.00043316563872690747,-0.004248547876354786
2017,251,1647.0756972111553,0.032154234013627526,0.014721731033898455,0.13156655512721124
2018,251,1709.4581673306773,0.02675994006735906,0.028278592763906225,0.31044597498713666
2019,252,1645.357142857143,-0.0022223557576159323,-0.0033217193789222745,-0.033833204736865505
2020,253,1695.4624505928855,0.020301922913141913,-0.0023594980587523036,-0.01421381416821243
2021,252,1922.9404761904761,-0.0022600900464626395,-0.00823694849073408,-0.06483613862305734
2022,251,1837.386454183267,-0.02001011998114989,-0.02399862013861258,-0.23035271718438066
2023,230,1795.0347826086957,0.0013028673730693255,-0.009339162649634,-0.13025644546689877
