offset,rebalances,mean_turnover,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,225,0.9761253516161222,0.0010966952015508704,0.013818359539540966,0.14691516599072565,0.09405672618178358,0.5466666666666666,-0.445154981939873,0.0009014701312276459,0.011358523653468337,0.14691425867165206,0.07731396364225082,0.5422222222222223,-0.4464289892386064,0.00012056984993474752,0.0015191801091778187,0.14691093672285246,0.010340823787978105,0.5333333333333333,-0.45905417015287386,-0.000855555501681374,-0.010779999321185311,0.14690747581136032,-0.07337951497463344,0.5244444444444445,-0.48199475773616507,-0.0028078062049136186,-0.035378358181911596,0.1469028592626857,-0.24082824772422884,0.49777777777777776,-0.5988292126591455
1,225,0.9796917075718563,0.0007826092454653587,0.00986087649286352,0.14695262698679415,0.06710241725552593,0.5288888888888889,-0.4692010316370726,0.0005866709039509876,0.007392053389782443,0.14695180600769012,0.05030256919330146,0.5244444444444445,-0.4744103386982298,-0.00019708246210649804,-0.0024832390225418754,0.1469488158501064,-0.016898666438216674,0.5111111111111111,-0.49475147816432963,-0.001176774169678354,-0.01482735453794726,0.1469457391428026,-0.1009036030880621,0.5022222222222222,-0.5256039743309148,-0.003136157584822067,-0.039515585568758047,0.1469417891898669,-0.2689199974127105,0.4888888888888889,-0.6228274699189966
2,225,0.9763182738520169,0.0014393788119325163,0.018136173030349704,0.14655001133516177,0.12375415644883195,0.5555555555555556,-0.3969624332348827,0.0012441151571621128,0.01567585098024262,0.146549042295201,0.10696658766739656,0.5422222222222223,-0.397713601488071,0.000463060538080499,0.0058345627798142875,0.14654543814649318,0.0398140184615082,0.5377777777777778,-0.41581617313273966,-0.0005132577357715179,-0.0064670474707211245,0.14654154502215863,-0.044131153863180846,0.5244444444444445,-0.4470961969837791,-0.002465894283475552,-0.03107026797179195,0.14653579917383663,-0.21203192767204304,0.49333333333333335,-0.5848024091744977
3,225,0.9796303517389284,0.0015096025634251905,0.0190209922991574,0.14581419559440034,0.13044678003825205,0.5466666666666666,-0.37824736440177054,0.0013136764930774035,0.016552323812775285,0.14581144467398086,0.11351868743763256,0.5422222222222223,-0.3849206439612681,0.0005299722116862614,0.006677649867246893,0.14580074745337224,0.045799832880708914,0.5377777777777778,-0.41939469846521726,-0.0004496581400526671,-0.005665692564663605,0.14578806559005514,-0.0388625265156827,0.5111111111111111,-0.4741115724208942,-0.0024089188435305236,-0.030352377428484595,0.14576500148448227,-0.20822815572581616,0.48444444444444446,-0.5872819133330721
4,225,0.9777628183812077,0.0020654034313963877,0.026024083235594485,0.14120893556854108,0.18429487575141953,0.5288888888888889,-0.420568767495465,0.0018698508677201472,0.023560120933273854,0.1412071895360686,0.1668478850877199,0.5288888888888889,-0.42473629718737405,0.00108764061301518,0.013704271723991268,0.14120052565970517,0.09705538743544563,0.5066666666666667,-0.44111709695449575,0.00010987779463397314,0.0013844602123880615,0.1411929164680739,0.00980545091793689,0.49333333333333335,-0.47427673175426355,-0.0018456478421284427,-0.023255162810818377,0.14118010074067652,-0.16471983437335905,0.4666666666666667,-0.5497789566568555
5,225,0.9773339558940977,0.0007687727011139319,0.009686536034035543,0.1357185156974972,0.0713722514887051,0.5022222222222222,-0.36907795983474345,0.0005733059099351133,0.007223654465182428,0.1357201094041753,0.05322464369425419,0.49777777777777776,-0.3786482704804274,-0.00020856125478016407,-0.0026278718102300674,0.1357267834598625,-0.019361482997253734,0.4888888888888889,-0.4170730578968411,-0.0011858952106742636,-0.01494227965449572,0.1357357992104203,-0.11008355748015973,0.48444444444444446,-0.4618189727141975,-0.003140563122462458,-0.03957109534302697,0.13575607406765033,-0.29148673910021733,0.4533333333333333,-0.607198564225101
6,225,0.9762423782168593,0.00011674707734859754,0.0014710131745923288,0.1400284122023176,0.010505105010167232,0.5022222222222222,-0.3519716509980053,-7.850139829477495e-05,-0.0009891176185141644,0.14002325921777314,-0.007063952260787084,0.49777777777777776,-0.3623526500408968,-0.0008594953008682632,-0.010829640790940115,0.14000292800574374,-0.07735295929307867,0.49333333333333335,-0.40889009258583653,-0.0018357376790851222,-0.02313029475647254,0.13997814585263024,-0.16524218559677337,0.4711111111111111,-0.5129125564966528,-0.003788222435518841,-0.04773160268753739,0.13993068915822612,-0.34110889451537724,0.4444444444444444,-0.6694516088379787
7,225,0.9780651934435585,-0.0002942255984363731,-0.0037072425402983012,0.14822573609189907,-0.025010788531350813,0.48444444444444446,-0.48209486428247184,-0.0004898386371250843,-0.006171966827776061,0.14822223313457938,-0.041639953043833736,0.48,-0.489568355742503,-0.0012722907918799316,-0.016030863977687135,0.14820853992568148,-0.10816423929232245,0.4666666666666667,-0.5184134284631903,-0.00225035598532349,-0.02835448541507597,0.14819214047448026,-0.19133595968241526,0.4577777777777778,-0.5984808701915193,-0.004206486372210608,-0.05300172828985367,0.14816173276249858,-0.35772886359809775,0.44,-0.7232849691324182
8,225,0.9778438643804644,-0.0005105423407636672,-0.006432833493622206,0.15462977651868845,-0.04160151840382916,0.47555555555555556,-0.49932598577241627,-0.000706111113639759,-0.008897000031860964,0.15462546635279925,-0.05753903442762291,0.47555555555555556,-0.5071100517296206,-0.0014883862051441308,-0.018753666184816047,0.1546085191676493,-0.12129775439140303,0.4577777777777778,-0.5370695299525206,-0.002466230069524596,-0.03107449887600991,0.15458799569235024,-0.20101495421321147,0.4488888888888889,-0.6051337850706426,-0.0044219177982855245,-0.05571616425839761,0.15454915152798498,-0.36050773302568934,0.43555555555555553,-0.7307586211786883
9,224,0.9756786572141206,0.0007940410081676561,0.010004916702912467,0.16358010520029576,0.06116218528324054,0.49107142857142855,-0.4275141576235073,0.0005989052767248314,0.007546206486732875,0.16357666845061447,0.046132535637325056,0.49107142857142855,-0.43633379578909215,-0.00018163764904646488,-0.0022886343779854575,0.16356317386107647,-0.01399235735012898,0.49107142857142855,-0.4702908915901567,-0.0011573163062605861,-0.014582185458883385,0.16354687366109943,-0.08916211684425394,0.47767857142857145,-0.5099095450825408,-0.003108673620688827,-0.03916928762067922,0.1635161674265496,-0.23954382148954056,0.45535714285714285,-0.6334766821423061
