,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252,composite,mom_120_20__decile,rev_5__decile,rvol_20__decile,vs_20__decile,rmom_120_20__decile,dd_252__decile,composite__decile
signal,signal_mom_120_20,signal_rev_5,signal_rvol_20,signal_vs_20,signal_rmom_120_20,signal_dd_252,signal_composite,decile_mom_120_20,decile_rev_5,decile_rvol_20,decile_vs_20,decile_rmom_120_20,decile_dd_252,decile_composite
days,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
first_date,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
gross_return_annualised_volatility,0.07446606988292809,0.03317690770832535,0.09549171558351144,0.012872326879041648,0.0477139894814831,0.09281071436536777,0.08020265429653274,0.11833756814440505,0.0521911436415318,0.14401505109511178,0.020664004617692112,0.07658205244456959,0.14334935280443056,0.11134615514058654
gross_return_sharpe,-0.01630553202056418,0.3284502521343776,0.05600634997932828,0.41928017897551595,-0.06222060771347346,0.006329199955224208,0.1090465714759753,0.10215876343905428,0.24622576245923608,0.07251544723419033,0.5420516606736245,-0.0018259914181456773,0.007833067890812935,0.13842383386504056
gross_return_hit_rate,0.5301685891748004,0.4889086069210293,0.4933451641526176,0.5088731144631766,0.5135314995563443,0.523070097604259,0.5270629991126885,0.5350488021295474,0.4902395740905058,0.49667258207630877,0.5150842945874001,0.5177462289263531,0.5232919254658385,0.5270629991126885
gross_return_max_drawdown,-0.30663413176236776,-0.08199308003268235,-0.3801291769494173,-0.051163332815057805,-0.19817297294356717,-0.4230129924426964,-0.31852071607028676,-0.41821020090043326,-0.12152384055868326,-0.5229393793825559,-0.06616844942973976,-0.2648406845267194,-0.5833802204991532,-0.4075082958915849
gross_return_market_beta,-0.10207014767000634,0.04438994416833616,-0.3351732850553166,0.0027741088843321942,-0.05311158310377879,-0.2686134521707759,-0.22261632086619104,-0.15657915085075935,0.06834950869069736,-0.4988034708976337,0.009838410456700161,-0.09190492781542448,-0.41824792292156604,-0.31571251180984283
net_return_1bp_annualised_return,-0.0022794407166475033,0.009166174597898575,0.004126204365026318,0.003583451575815598,-0.004094521492705613,-0.0004302666716313727,0.007447274083377333,0.010561707673316701,0.010486665442253025,0.008623685476922788,0.008719728899213342,-0.0017319355874356424,-0.0005085745160826944,0.013439218872343905
net_return_1bp_annualised_volatility,0.07446684944513893,0.0331767859347643,0.09549274179076914,0.01287247356853855,0.04771432406597126,0.09281176400793884,0.08020346307165489,0.11833865263768167,0.052190748606983896,0.14401632038018825,0.020664081852628757,0.07658271743364933,0.14335048473089254,0.11134698567628902
net_return_1bp_sharpe,-0.030610140399813864,0.2762827784440023,0.04320961245480942,0.27838096203777546,-0.08581325572262963,-0.004635906624881831,0.09285476958424893,0.08924985571412207,0.2009295846898382,0.05987991815203408,0.42197514321712165,-0.02261522763195466,-0.003547769768880976,0.12069674621830148
net_return_1bp_hit_rate,0.5295031055900621,0.48691215616681455,0.49290150842945873,0.5044365572315883,0.5126441881100267,0.521960958296362,0.5261756876663709,0.5346051464063887,0.48868677905944985,0.4964507542147294,0.5090949423247559,0.5170807453416149,0.5228482697426797,0.5261756876663709
net_return_1bp_max_drawdown,-0.3095425572096624,-0.08241117627402672,-0.3892118455633412,-0.0652228415404591,-0.20427515634287963,-0.4303355538548109,-0.3205045501547572,-0.41919851090129534,-0.12202587409578136,-0.533333635022502,-0.07105809414452136,-0.2697480889788778,-0.5915992588403339,-0.4100686350776349
net_return_1bp_market_beta,-0.10207269638281419,0.044389334631892166,-0.3351751378677592,0.0027735801639463837,-0.053113984054865636,-0.2686155788214873,-0.2226190166111037,-0.15658235057883788,0.0683484695681906,-0.4988051783356982,0.009837633770707439,-0.09190783191422741,-0.418249563324737,-0.31571486712801056
net_return_5bp_annualised_return,-0.006540368035550893,0.002243018182139125,-0.0007615479472549069,-0.0036711881916257154,-0.008597433775639448,-0.0045010036349792965,0.0022530725196475295,0.004451659846514522,0.0010301106642424133,0.0013451640301467543,-0.0012051875806831076,-0.008100325254987146,-0.007034333430898329,0.005544247638953229
net_return_5bp_annualised_volatility,0.07446999584217975,0.03317632045481841,0.09549686654705156,0.012873077659581636,0.04771569747369395,0.09281599186424547,0.08020671759508645,0.11834301707579187,0.05218919038409641,0.14402141590354428,0.02066443329517842,0.07658540940796661,0.14335504494711626,0.11135032833895499
net_return_5bp_sharpe,-0.08782554586697632,0.06760901002248902,-0.007974585709361368,-0.28518341058039,-0.18018040667600604,-0.04849383758741225,0.02809082065946002,0.03761658234269531,0.019738008132740043,0.009340027812583467,-0.05832183072566094,-0.10576851801936742,-0.04906931202521194,0.04979103089913046
net_return_5bp_hit_rate,0.5261756876663709,0.4782608695652174,0.49134871339840286,0.47914818101153506,0.5097604259094942,0.519299023957409,0.523070097604259,0.5312777284826974,0.481810115350488,0.4953416149068323,0.4922360248447205,0.5139751552795031,0.5204081632653061,0.523070097604259
net_return_5bp_max_drawdown,-0.3376416520232808,-0.0840816875883581,-0.424231459127681,-0.13961687821828217,-0.2423663651235567,-0.45870850687824116,-0.3335401043673196,-0.4231350770464818,-0.14566236550503442,-0.5726954415249983,-0.1610004701218608,-0.29988015017078706,-0.6228861471055953,-0.4438842571031819
net_return_5bp_market_beta,-0.10208289123404563,0.04438689648611619,-0.33518254911752965,0.0027714652824031424,-0.05312358785921301,-0.2686240854243329,-0.22262979959075468,-0.15659514949115233,0.06834431307816351,-0.49881200808795617,0.009834527026736555,-0.09191944830943921,-0.4182561249374214,-0.31572428840068095
net_return_10bp_annualised_return,-0.011866527184180119,-0.006410927337560191,-0.006871238337606428,-0.012739487900927358,-0.014226074129306737,-0.009589424839164204,-0.004239679435014754,-0.003185899936988205,-0.01079058280827085,-0.007752987778323293,-0.013611333180553669,-0.01606081233942653,-0.015191532074417856,-0.004324466402785118
net_return_10bp_annualised_volatility,0.07447399216521065,0.03317578723873154,0.09550206732386804,0.0128738717681331,0.0477174931345931,0.09282134257065246,0.08021082944655508,0.11834853216418585,0.052187291918581374,0.1440278266659413,0.020664968225410297,0.07658884640999888,0.14336081835990466,0.11135455283349015
net_return_10bp_sharpe,-0.1593378686865048,-0.19324115179023285,-0.07194858216319634,-0.9895615033592005,-0.29813121341434123,-0.10331055955008474,-0.052856696087897656,-0.0269196404782476,-0.20676648301861483,-0.053829790796646564,-0.6586670268293345,-0.20970171366009435,-0.10596711324763645,-0.03883511084860218
net_return_10bp_hit_rate,0.5226264418811003,0.4653948535936114,0.49001774622892635,0.44875776397515527,0.5059893522626442,0.5179680567879326,0.5210736468500443,0.5283939662821651,0.4722715173025732,0.49356699201419696,0.4665039929015084,0.5113132209405501,0.5177462289263531,0.5195208518189884
net_return_10bp_max_drawdown,-0.377056759611355,-0.16051379356997708,-0.4651969504095106,-0.23958165617471572,-0.2930640949576564,-0.49219640136303155,-0.3838710315592011,-0.4365685481279561,-0.26561201039223603,-0.6172636301801421,-0.28806901395501294,-0.3605947199121383,-0.6591921634047199,-0.5065414937428703
net_return_10bp_market_beta,-0.10209563479808491,0.044383848803896196,-0.33519181317974267,0.002768821680474089,-0.05313559261464723,-0.26863471867788974,-0.2226432783153184,-0.15661114813154525,0.06833911746562966,-0.49882054527827857,0.009830643596772945,-0.09193396880345388,-0.41826432695327675,-0.31573606499151896
net_return_20bp_annualised_return,-0.022518845481438596,-0.023718818376958814,-0.019090619118309466,-0.030876087319530645,-0.02548335483664132,-0.019766267247534018,-0.017225183344339284,-0.018461019503993654,-0.03443196975329739,-0.025949291395263408,-0.03842362438029479,-0.031981786508305285,-0.0315059293614569,-0.024061894486261823
net_return_20bp_annualised_volatility,0.0744821958571065,0.033174882928976274,0.09551261828470431,0.012875589936765778,0.04772134742238754,0.0928322635552465,0.08021919877828376,0.11835976077489256,0.052183659387060634,0.14404078602804168,0.020666356809468874,0.07659596048661955,0.14337260895637993,0.11136315568763865
net_return_20bp_sharpe,-0.3023386357276687,-0.7149631372547165,-0.19987536161352096,-2.398032825770966,-0.5340032545830067,-0.21292454250855025,-0.21472644462515295,-0.15597378182526503,-0.6598228287883366,-0.18015238677058895,-1.8592355069902755,-0.41753881412443605,-0.21974859487311385,-0.21606692390931145
net_return_20bp_hit_rate,0.515527950310559,0.4398846495119787,0.4846938775510204,0.3992901508429459,0.4940106477373558,0.5124223602484472,0.514418811002662,0.5228482697426797,0.4514196983141083,0.4891304347826087,0.4161490683229814,0.5033274179236912,0.5119787045252884,0.5124223602484472
net_return_20bp_max_drawdown,-0.4502916950202731,-0.3533717251953261,-0.5385938500495631,-0.4255094457671822,-0.39402079248385,-0.5530868509417934,-0.4734202318718198,-0.5293616442518186,-0.4744674213622886,-0.6929430731638385,-0.506348182332452,-0.47797154668246133,-0.7222038666170836,-0.6114781942478776
net_return_20bp_market_beta,-0.10212112192616357,0.044377753439456234,-0.33521034130416844,0.0027635344766159925,-0.053159602125515695,-0.26865598518500355,-0.22267023576444583,-0.15664314541233149,0.06832872624056194,-0.4988376196589233,0.009822876736845714,-0.09196300979148334,-0.4182807309849877,-0.31575961817319514
exposure_mom_120_20,0.27927316798653445,-0.008853991931049571,0.022276031489026696,-0.0018392157901183984,0.20708779462639074,0.18472771924527603,0.22731415764430238,0.38686989448224013,-0.014092915031511846,0.03232659315203755,-0.004114018754716021,0.29924744660479224,0.2409437461310966,0.2984604294094966
exposure_rev_5,-0.0006307191224381508,0.028767439399668325,0.0004967860257434455,-0.002135869712294602,0.00026658299385867463,-0.008286040351711307,0.005732019698887222,-0.002072269051734077,0.043212831853509215,0.0011648758522498969,-0.0032370634481956925,4.6995204799173264e-06,-0.01347574412734552,0.009893183330613557
exposure_rvol_20,-0.01969166740748426,-0.00038442507985681336,-0.25980222380932433,0.0043337318524805605,-0.017265286681478847,-0.14734152227120154,-0.14445713585080766,-0.024889607035542285,-0.0029400816469546125,-0.3543343862172625,0.013607694132167754,-0.024808769164752553,-0.20240097431862025,-0.2026913494761304
exposure_vs_20,0.0015309969197039618,0.004248300889590131,0.04099956639237475,0.013831155585321418,0.0005236751047802689,0.01344189815831397,0.025344030855717126,0.0012947981462967703,0.007350766669543395,0.0665419933402342,0.02048104001005892,9.760026672256434e-05,0.017276540123693493,0.035230207899815555
exposure_rmom_120_20,0.18943351627122487,-0.006137655321882588,0.017111329855525406,-0.002857056370141167,0.2687311871648551,0.09682597820038107,0.1890669629424066,0.275594273035188,-0.010766168254779811,0.021626458774227014,-0.006056502285602472,0.37563282970152856,0.11923729154070545,0.2537576287131604
exposure_dd_252,0.14971261880269812,-0.05828540543973545,0.14628409256543648,0.009243491537811661,0.08207744035627017,0.27858046390431973,0.20096581731714838,0.20927176413762863,-0.09014331423284522,0.20643882799633756,0.011121125087253965,0.11824288163292733,0.3459332778857397,0.26251638269764266
