,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252
mom_120_20,1.0,-0.001343791381908514,-0.07565008873563568,0.0028754506472381623,0.7287473678088725,0.519616670526152
rev_5,-0.001343791381908514,1.0,-0.014325939174917276,-0.02278763715636488,0.00027557618465564346,-0.2452342093732242
rvol_20,-0.07565008873563568,-0.014325939174917276,1.0,-0.07269367475851003,-0.061523073183516595,-0.46940378050708703
vs_20,0.0028754506472381623,-0.02278763715636488,-0.07269367475851003,1.0,-0.0008824374444082859,0.04727734144729502
rmom_120_20,0.7287473678088725,0.00027557618465564346,-0.061523073183516595,-0.0008824374444082859,1.0,0.2763442185888128
dd_252,0.519616670526152,-0.2452342093732242,-0.46940378050708703,0.04727734144729502,0.2763442185888128,1.0
