,mom_120_20,rev_5,rvol_20,vs_20,rmom_120_20,dd_252,composite,mom_120_20__decile,rev_5__decile,rvol_20__decile,vs_20__decile,rmom_120_20__decile,dd_252__decile,composite__decile
signal,signal_mom_120_20,signal_rev_5,signal_rvol_20,signal_vs_20,signal_rmom_120_20,signal_dd_252,signal_composite,decile_mom_120_20,decile_rev_5,decile_rvol_20,decile_vs_20,decile_rmom_120_20,decile_dd_252,decile_composite
days,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508
first_date,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02,2006-02-02
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_positions,1739.9172582076308,1739.9181455190771,1739.9159272404613,1739.9168145519077,1739.9157054126,1739.9181455190771,1739.9181455190771,603.6157941437444,1306.548580301686,662.2098491570541,1573.2138420585625,635.5676574977817,1253.9394409937888,1739.3263087843834
mean_gross_exposure,0.9474403909192393,0.4311678899371736,0.9290300522890829,0.3882976195986463,0.9335524091932523,0.9587229884609886,0.9027997865867828,0.9926183861522332,0.6471622711952028,0.9866905854763081,0.6104416963342217,0.9903329065320573,0.9880259016786302,0.9920007407328624
mean_net_exposure,-2.924601088139103e-19,-4.0226053130144724e-18,1.0449244956234728e-19,-1.5766687814996196e-20,-5.156650103976911e-19,9.979972168651195e-19,-3.86097609440495e-18,-6.413099141376659e-19,-4.767634298806122e-19,8.90769008715367e-19,2.3588227253252866e-18,-7.673652521265667e-19,-1.4898099495135636e-17,4.152967216032448e-18
max_abs_net_exposure,3.642919299551295e-17,8.933825901280557e-17,3.903127820947816e-17,2.076247160309741e-17,4.163336342344337e-17,9.540979117872439e-17,1.8041124150158794e-16,5.811323644522304e-17,6.982261990806649e-17,9.020562075079397e-17,3.664603343001005e-17,5.724587470723463e-17,4.623038063478191e-16,2.255140518769849e-16
largest_position,0.0016384793638408474,0.0014730176513511283,0.0016384534954450765,0.0015655741117049048,0.0016384793638408474,0.0016333803045524883,0.00290176554083015,0.004086781265455251,0.004008349296443838,0.004086781265455251,0.003875226102574166,0.004086781265455251,0.004086781265455251,0.0040898561461015295
cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
cap_binds,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mean_daily_turnover,0.021144436873208675,0.034393479325811396,0.02427201182148227,0.036060776555849085,0.022345628432834625,0.020194205477784204,0.025778634000589228,0.030314101931591612,0.04692701791081631,0.036161293077383305,0.04932708818535267,0.031595778814460386,0.0323734279297169,0.03917275311219287
annual_turnover_multiple,5.328398092048586,8.667156790104471,6.116546979013532,9.08731569207397,5.631098365074325,5.08893978040162,6.496215768148486,7.6391536867610865,11.825608513525712,9.112645855500594,12.430426222708872,7.962136261244018,8.158103838288659,9.871533784272604
positions_without_return_per_day,7.856921029281278,7.856921029281278,7.856921029281278,7.856921029281278,7.856921029281278,7.856921029281278,7.856921029281278,4.005102040816326,2.9680567879325643,6.389973380656611,7.2105146406388645,4.1144631765749775,6.541038154392192,7.84094942324756
