year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1705.684,-0.04112687869855715,-0.040317375894728974,-0.30935496673639973
2007,251,1819.8286852589642,0.07588135967934194,0.07862028701655334,0.6729614867046171
2008,253,1611.9762845849802,-0.016752926056227625,-0.02532042762265515,-0.12757137641212446
2009,252,1334.2579365079366,-0.057393221382184986,-0.05325558983865933,-0.271810663428618
2010,252,1419.2103174603174,-0.0279361470731277,-0.039851595932553725,-0.49082113368829355
2011,252,1488.1666666666667,0.00758729319992422,0.001983183770235585,0.011605568611202896
2012,250,1393.496,0.0006907265060376492,-0.018916755367843804,-0.17219227398131476
2013,252,1505.888888888889,0.03167762275826346,0.012057873985220593,0.18201102093562113
2014,252,1632.873015873016,0.014821243109991904,0.01899746730088537,0.16294384715076227
2015,252,1665.857142857143,0.040285973724296646,0.03855474386170585,0.24778937191911907
2016,252,1608.5277777777778,-0.02899328121440784,-0.03226227082081109,-0.24426016515124194
2017,251,1653.1274900398407,0.035919181014939155,0.017462201387971343,0.14885757509555647
2018,251,1717.8764940239043,0.014074382009822058,0.017233438372681695,0.15371701240913851
2019,252,1653.781746031746,0.007182376480557307,0.0039350421980191026,0.023965010459734426
2020,253,1703.810276679842,0.029487108477201637,0.004333201325987198,0.02064418923107602
2021,252,1937.047619047619,-0.02327687584050063,-0.013679842160113004,-0.11359169207676399
2022,251,1851.3027888446215,0.035821859202731475,0.035876405708193504,0.19302857120826836
2023,230,1798.7565217391304,-0.0026965262236146635,-0.00898221595205437,-0.07009566930113995
