dropped,weighting,gross_sharpe,hac_t,net_sharpe_1bp,net_sharpe_5bp,net_sharpe_10bp,net_sharpe_20bp,breakeven_bp,annual_turnover,beta
full,rank,0.29690024741742244,1.005045839458768,0.2835663488474398,0.23002936193748671,0.1631081799754788,0.029266126106496693,22.178449418483858,5.642751407295469,-0.18720215902390647
full,decile,0.2970955157150236,0.992606938171622,0.28296028274029544,0.22612877380944943,0.1550886865605961,0.013006277907732082,20.906129106466054,8.273971898209348,-0.2658486804392554
mom_120_20,rank,0.28461929819594595,0.9341585582680831,0.2695041596166509,0.20883047815053984,0.132988806204283,-0.01869295911127458,18.760365040003194,6.300205294206414,-0.20986556025299677
mom_120_20,decile,0.29717766372017046,0.9682364228926348,0.2814147964342456,0.218008982469401,0.1387507438906302,-0.019768835333806918,18.743614318404365,8.9245076919567,-0.2864541622654686
rev_5,rank,0.23702411842188414,0.8128061083760463,0.22647617687134525,0.18409319251629228,0.1311145388078144,0.025157569160901425,22.365366217962617,4.868086671857079,-0.22028507883955548
rev_5,decile,0.24599520708112232,0.8379111875949018,0.23485469055748145,0.19005447024824815,0.13405384788521424,0.022051499455669848,21.959148057359368,7.272844605996632,-0.32192390018610956
rvol_20,rank,0.3036478767535305,1.0590904754791632,0.28699262269364,0.22022592387427198,0.13676765508019648,-0.030148327543272607,18.187998084512678,5.920473948495239,-0.10152834001032046
rvol_20,decile,0.36383488266884223,1.2591443454351054,0.34583771058205376,0.27356663874062087,0.1832264231937297,0.0025415821380196323,20.132759745920776,8.714809750242516,-0.13752438719476873
vs_20,rank,0.2798465891131436,0.9537954335126237,0.26838574120552144,0.22232069778433597,0.16473924025674622,0.049575935637858594,24.295186434425084,5.053338752165133,-0.19695235667199024
vs_20,decile,0.2883413724550483,0.9760611304175325,0.27627596939402466,0.2277647463879844,0.16712528456386247,0.04584500227072036,23.770182000275312,7.509975341271015,-0.2895280127686645
rmom_120_20,rank,0.30567995868437,1.021783451286731,0.292376594306792,0.2390079096223685,0.1722969998291625,0.0388751259212051,22.906236866394313,5.969897382492112,-0.21188909692310284
rmom_120_20,decile,0.317344986338955,1.059570431523883,0.3030643226203311,0.24575632843855763,0.174120927263848,0.030848875559534156,22.14551854564027,8.7185819707841,-0.2922038246093924
dd_252,rank,0.3511566824830763,1.1953375260374464,0.3314655917576621,0.2524437538055121,0.15366584888830895,-0.04389164248080385,17.77150504798191,6.806840129222931,-0.13210458384741863
dd_252,decile,0.38281458368897975,1.2895166497988217,0.36288005652771,0.28283475767650235,0.18277736460557728,-0.017339724752810235,19.125890655175603,9.389288750042121,-0.18220360567933278
