,ols,ols__decile,ols__neutral,ols__neutral__decile,ridge,ridge__decile,ridge__neutral,ridge__neutral__decile,gbm,gbm__decile,gbm__neutral,gbm__neutral__decile,composite,composite__decile,composite__neutral,composite__neutral__decile
days,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
first_date,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03,2014-01-03
last_date,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29,2023-12-29
mean_rank_ic,0.024222409196834292,0.024222409196834292,0.011444999990112118,0.011444999990112118,0.024328102422445905,0.024328102422445905,0.011506160993480908,0.011506160993480908,0.03027305373346328,0.03027305373346328,0.008000354772286574,0.008000354772286574,0.035383178584314216,0.035383178584314216,0.0133208768196946,0.0133208768196946
rank_ic_hac_t,2.7359254626734515,2.7359254626734515,2.4650719995817774,2.4650719995817774,2.7451969075194946,2.7451969075194946,2.4780842917897963,2.4780842917897963,3.431333687351462,3.431333687351462,1.6359393652002248,1.6359393652002248,3.1983522214595577,3.1983522214595577,2.0687676104731527,2.0687676104731527
mean_gross_exposure,0.6987964200316237,0.9380466981192968,0.6401922762132942,0.886356660461989,0.6985467791897523,0.9379891654203738,0.6394598103172944,0.8857446543415787,0.826456898804804,0.965656693606115,0.8057556895542265,0.9440723396843763,0.8971548683063951,0.9831298879578496,0.849589479537964,0.9785268147437417
annual_turnover,6.807772633755451,9.607883048027656,7.268699344411538,9.892366826404912,6.81067919694872,9.613125626252794,7.274532608913621,9.89790166173546,5.465518738392725,8.102893028953874,5.605404489924419,8.008528438929487,5.642751407295469,8.273971898209348,5.715670990769188,8.433599883386373
breakeven_bp,3.335457985486695,4.208195276648142,4.34652405704095,4.893828557732946,3.4039755804214202,4.388204103317172,4.399233263371818,4.9023405494377705,5.350638283239915,5.903015607639343,1.739783537358867,5.725419955107872,22.17844941848385,20.90612910646605,12.903628669464407,17.522116592337774
gross_return_annualised_return,0.004541407918927482,0.008086369612259546,0.006318715312776508,0.009682309455726078,0.004636677134499522,0.008436871463765195,0.006400473165723155,0.00970457693413465,0.005848802759881848,0.009566300803389348,0.0019504380903615961,0.009170437707059156,0.025029495333556223,0.03459534494544732,0.014750579212343065,0.029554904089964452
gross_return_annualised_volatility,0.05424997976077773,0.08449407144902174,0.02799552034123482,0.046638274663731154,0.05434480784529614,0.08462489344393635,0.02798955721416243,0.04665623348587588,0.05938554451001597,0.09636458244434257,0.027234146964668735,0.04756178614880451,0.08430270958436215,0.11644519393766777,0.041173405292117,0.06085522485706213
