book,factor_set,neutralised,weighting,gross_sharpe,gross_hac_t,net_sharpe_10bp,breakeven_bp,annual_turnover,realised_beta,max_drawdown
composite,all_six,False,rank,0.2969002474174222,1.0050458394587674,0.1631081799754788,22.178449418483847,5.642751407295469,-0.1872021590239064,-0.2285167734994012
composite__decile,all_six,False,decile,0.2970955157150234,0.9926069381716216,0.155088686560596,20.906129106466047,8.273971898209348,-0.2658486804392554,-0.3246345800211513
gbm__decile,gbm,False,decile,0.0992719582312783,0.3206837584206365,-0.0688309710000919,5.903015607639343,8.102893028953874,-0.2201682803768321,-0.3132489953329987
gbm,gbm,False,rank,0.098488660971954,0.3154847532525707,-0.0855051549914801,5.350638283239917,5.465518738392725,-0.138498951199172,-0.2160015140917962
ridge__decile,ridge,False,decile,0.0996972772480309,0.306349842367235,-0.1274482131018425,4.388204103317174,9.613125626252794,-0.2062650711137686,-0.2989668863052013
ols__decile,ols,False,decile,0.095703396387264,0.2943418655388458,-0.1316724201311691,4.208195276648137,9.607883048027656,-0.2056824965984683,-0.2983526144593378
ridge,ridge,False,rank,0.0853195975538047,0.2646095313191482,-0.1652793679322151,3.4039755804214145,6.81067919694872,-0.1355394541726334,-0.206249528419916
ols,ols,False,rank,0.0837126195982637,0.2595517937928875,-0.1672167995600316,3.335457985486703,6.807772633755451,-0.1351979364233731,-0.2061158671882987
ols__neutral,ols,True,rank,0.22570451399932093,0.6699683241993111,-0.2934126006128367,4.34652405704095,7.268699344411538,-0.03049069994571552,-0.1181499180664135
ols__neutral__decile,ols,True,decile,0.20760436627505968,0.6243029424941781,-0.2164819448293438,4.893828557732946,9.892366826404912,-0.04673383987977008,-0.187620816700506
ridge__neutral,ridge,True,rank,0.2286736126888275,0.6785534015601207,-0.2909706567722052,4.399233263371818,7.274532608913621,-0.03042905549007406,-0.11800253554686635
ridge__neutral__decile,ridge,True,decile,0.20800172257952393,0.6255201543136603,-0.21617159013302692,4.9023405494377705,9.89790166173546,-0.04669508027370544,-0.187185716664087
gbm__neutral,gbm,True,rank,0.07161737405955579,0.22154447754130052,-0.3399511416146094,1.739783537358867,5.605404489924419,0.016633805919691703,-0.11928724365747156
gbm__neutral__decile,gbm,True,decile,0.19281104537092034,0.5905987549525732,-0.14387390172528064,5.725419955107872,8.008528438929487,-0.0054511734303646425,-0.196116718499468
composite__neutral,all_six,True,rank,0.35825502184457864,1.1697391030274982,0.08071119830452576,12.903628669464407,5.715670990769188,-0.038016604471176586,-0.11707666284360829
composite__neutral__decile,all_six,True,decile,0.48565927016757493,1.529001206895041,0.20870693232116064,17.522116592337774,8.433599883386373,-0.05657445578145078,-0.1707187966489625
drop_mom_120_20,drop_mom_120_20,False,rank,0.2846192981959461,0.9341585582680837,0.13298880620428302,18.7603650400032,6.300205294206414,-0.20986556025299682,-0.2547937104987721
drop_mom_120_20__decile,drop_mom_120_20,False,decile,0.2971776637201704,0.9682364228926348,0.1387507438906302,18.74361431840436,8.9245076919567,-0.2864541622654686,-0.33534382872974067
drop_rev_5,drop_rev_5,False,rank,0.23702411842188426,0.8128061083760466,0.1311145388078145,22.365366217962624,4.868086671857079,-0.22028507883955548,-0.24260089446972166
drop_rev_5__decile,drop_rev_5,False,decile,0.24599520708112238,0.837911187594902,0.1340538478852142,21.95914805735938,7.272844605996632,-0.32192390018610956,-0.3400906512373645
drop_rvol_20,drop_rvol_20,False,rank,0.30364787675353033,1.0590904754791626,0.13676765508019645,18.187998084512667,5.920473948495239,-0.10152834001032049,-0.18736633805209923
drop_rvol_20__decile,drop_rvol_20,False,decile,0.36383488266884245,1.2591443454351057,0.1832264231937296,20.132759745920776,8.714809750242518,-0.13752438719476875,-0.23621059792218402
drop_vs_20,drop_vs_20,False,rank,0.2798465891131436,0.9537954335126236,0.16473924025674624,24.295186434425084,5.053338752165133,-0.1969523566719903,-0.22735126743634826
drop_vs_20__decile,drop_vs_20,False,decile,0.2883413724550484,0.976061130417533,0.16712528456386253,23.77018200027532,7.509975341271015,-0.2895280127686645,-0.326930757944925
drop_rmom_120_20,drop_rmom_120_20,False,rank,0.30567995868437003,1.0217834512867314,0.1722969998291625,22.906236866394316,5.969897382492113,-0.21188909692310284,-0.2490513791244977
drop_rmom_120_20__decile,drop_rmom_120_20,False,decile,0.317344986338955,1.059570431523883,0.1741209272638479,22.14551854564027,8.7185819707841,-0.29220382460939237,-0.33244638540485594
drop_dd_252,drop_dd_252,False,rank,0.3511566824830764,1.195337526037447,0.15366584888830886,17.77150504798191,6.806840129222933,-0.13210458384741863,-0.18127338588702224
drop_dd_252__decile,drop_dd_252,False,decile,0.3828145836889798,1.289516649798822,0.1827773646055773,19.125890655175606,9.389288750042121,-0.18220360567933275,-0.24622826807208753
drop_mom_120_20__neutral,drop_mom_120_20,True,rank,0.4096534896979004,1.2598707139331295,0.0436789365604431,11.189682064420252,6.60746143968792,-0.0433898053696012,-0.1200007498482592
drop_mom_120_20__neutral__decile,drop_mom_120_20,True,decile,0.4921752526253909,1.4739943607625177,0.1564616224161499,14.649036452463884,9.314178384056662,-0.0637483223350318,-0.1846365993583171
drop_rev_5__neutral,drop_rev_5,True,rank,0.229972499304188,0.758787685268232,0.0144460086614216,10.666150445132548,4.980502949410922,-0.0556416952115825,-0.1367406773889095
drop_rev_5__neutral__decile,drop_rev_5,True,decile,0.3257151808175173,1.0439325943869882,0.1068722720086386,14.876679347393168,7.486852208652867,-0.0870502639524602,-0.1922776381161494
drop_rvol_20__neutral,drop_rvol_20,True,rank,0.30942348266548,1.0629834558004967,0.0345595139687023,11.253580109066428,5.696688778487751,-0.0203335465749814,-0.1057506678030393
drop_rvol_20__neutral__decile,drop_rvol_20,True,decile,0.4633217132460812,1.5532414052397137,0.1791315789033682,16.296395223580582,8.486315395054989,-0.0245623705310214,-0.1485727675609611
drop_vs_20__neutral,drop_vs_20,True,rank,0.3204429775532602,1.0557643254746665,0.0880906459245335,13.787134672636558,5.094718659110441,-0.0407021329685733,-0.1213938513402662
