weighting,tercile,mean_trailing_vol,days,gross_sharpe,hac_t
rank,low,0.07555137747638402,832,1.3559949908519942,2.4260050201146175
rank,mid,0.12398202811575378,831,0.26193620567804504,0.4883434814283746
rank,high,0.23966014059800042,832,-0.11247952519016523,-0.23155334803380373
decile,low,0.07555137747638402,832,1.3626156613127947,2.414889426040412
decile,mid,0.12398202811575378,831,0.21910574794695883,0.41267106580412805
decile,high,0.23966014059800042,832,-0.10082619782095516,-0.20331580611229308
