year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,251,1706.788844621514,0.0051985009209297665,0.004273728862956353,0.09329544242874624
2007,251,1819.3067729083666,0.005456479503069284,0.01030392647088158,0.2571302355884623
2008,253,1610.8853754940712,0.00729716007323167,0.006012084748192764,0.11309751541122252
2009,252,1333.888888888889,0.0001332908873928541,-0.0008738369256061683,-0.018232310314274754
2010,252,1420.4960317460318,-0.0026441479891592874,-0.0036164345050531802,-0.08236072528430538
2011,252,1489.8174603174602,0.016595452885817354,0.020298852667697934,0.5047177802844229
2012,250,1395.36,0.002283207885252451,0.003370546325536635,0.08769835719209548
2013,252,1508.265873015873,-0.005086008852386999,-0.002014183205314036,-0.05261365253027502
2014,252,1636.3809523809523,-0.0029081632602420268,-0.004993205839607709,-0.10404993929317892
2015,252,1667.8492063492063,-0.0007125524670900702,0.002391235304251388,0.04968838080963177
2016,252,1610.2738095238096,-0.0073252365659473686,-0.006831088636512986,-0.1455463429403325
2017,251,1654.0398406374502,0.0004296877586509065,-0.00018173741016193096,-0.004165646843582926
2018,251,1720.3346613545816,0.014063322257412015,0.013467700102189955,0.28634677561610045
2019,252,1654.7261904761904,0.007819685654071094,0.005172398197459424,0.11969467225166591
2020,253,1705.5256916996047,-0.007591109575927078,-0.007070720956912277,-0.11894689338619797
2021,252,1939.2103174603174,0.017655340853808012,0.0286732955809858,0.40765219361500177
2022,251,1851.9243027888447,0.021313399249243498,0.021946002803897958,0.36651539175352826
2023,230,1798.9565217391305,0.011171138851830211,0.01049883214450387,0.18470917810676543
