year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1706.4,-0.03012374123115356,-0.03606262934389552,-0.22498113399272623
2007,251,1819.4382470119522,-0.046586265674786395,-0.05116673406174572,-0.3947609020150161
2008,253,1612.5335968379447,-0.03715722389079212,-0.050629961342729186,-0.2938627537069913
2009,252,1335.2539682539682,0.06118870245182712,0.055400926941404964,0.22497825983403671
2010,252,1420.5039682539682,0.011092337008473464,0.023229956831711574,0.12131464716623029
2011,252,1490.0515873015872,-0.052391494399121,-0.06251207982996207,-0.2958262304487341
2012,250,1395.376,-0.017797791662393474,-0.018251117399656697,-0.09752053234376155
2013,252,1507.079365079365,0.011493603720333246,0.013454006697142147,0.10713906944309816
2014,252,1636.0873015873017,-0.05779997081800119,-0.06509709647437643,-0.42463411097570863
2015,252,1667.6190476190477,-0.060405297808770686,-0.07719554687698403,-0.4938068589714433
2016,252,1609.813492063492,0.040598109879294,0.027211358023763295,0.14720391152119028
2017,251,1653.6932270916334,-0.005917452434410715,-0.02267749191805593,-0.17938730579635925
2018,251,1720.1513944223107,-0.023725687931071396,-0.033570244945076815,-0.21723074091460998
2019,252,1654.392857142857,-0.028635837300842255,-0.031795904697668916,-0.20886031400224986
2020,253,1704.5691699604743,0.06826850244759392,0.051672826330162944,0.2576374250467572
2021,252,1938.626984126984,-0.10348579234633287,-0.13241550087311263,-0.5457355785251791
2022,251,1852.0,-0.06373103653783868,-0.07950424676991644,-0.375134193744837
2023,230,1799.1869565217391,-0.0273272781779034,-0.02538311366131506,-0.11986764434355174
