date,gross_return,turnover,names_without_target,net_return_1bp,net_return_5bp,net_return_10bp,net_return_20bp,offset
2006-01-04,0.004663532047792141,0.9999999999999986,4,0.004463532047792141,0.0036635320477921424,0.0026635320477921436,0.0006635320477921466,0
2006-02-02,0.019312094460793246,1.814239228409515,4,0.018949246615111343,0.01749785523238373,0.015683616003974214,0.012055137547155186,0
2006-03-03,0.0048800770912674615,1.779740138291331,6,0.004524129063609195,0.0031003369529761307,0.0013205968146847995,-0.0022388834618978625,0
2006-03-31,0.021308872979474043,1.884411312015762,4,0.02093199071707089,0.01942446166745828,0.017540050355442517,0.013771227731410995,0
2006-05-01,0.03820541650796005,1.843483455949302,3,0.03783671981677019,0.03636193305201075,0.03451844959606144,0.030831482684162838,0
2006-05-30,0.0071153512748782025,1.8051867894221392,5,0.006754313916993775,0.005310164485456063,0.003504977696033924,-0.00010539588281035465,0
2006-06-27,0.011462017329298507,1.7621532983489707,8,0.011109586669628713,0.009699864030949535,0.007937710732600564,0.0044134041359026235,0
2006-07-26,0.002444845199914511,1.8033181467021688,1,0.002084181570574077,0.0006415270532123421,-0.0011617910934898267,-0.004768427386894165,0
2006-08-23,-0.02005171940861999,1.8797278999254028,2,-0.02042766498860507,-0.021931447308545394,-0.023811175208470797,-0.027570631008321602,0
2006-09-21,-0.005065237657014513,1.9122050430052466,1,-0.005447678665615563,-0.0069774427000197595,-0.008889647743025007,-0.0127140578290355,0
2006-10-19,-0.01161108847559689,1.894920698157662,7,-0.011990072615228423,-0.013506009173754552,-0.015400929871912215,-0.01919077126822754,0
2006-11-16,0.022424406342035193,1.8747757492741206,6,0.02204945119218037,0.020549630592761072,0.01867485484348695,0.01492530334493871,0
2006-12-15,-0.0008083691795822443,1.7856230895075906,5,-0.0011654937974837625,-0.002593992269089835,-0.004379615358597426,-0.007950861537612607,0
2007-01-18,-0.009619500489613743,1.849609357388216,7,-0.009989422361091387,-0.01146910984700196,-0.013318719204390175,-0.017017937919166608,0
