offset,rebalances,mean_turnover,mean_names_without_target,mean_names_without_any_return,gross_return_mean_period_return,gross_return_annualised_return,gross_return_annualised_volatility,gross_return_sharpe,gross_return_hit_rate,gross_return_max_drawdown,net_return_1bp_mean_period_return,net_return_1bp_annualised_return,net_return_1bp_annualised_volatility,net_return_1bp_sharpe,net_return_1bp_hit_rate,net_return_1bp_max_drawdown,net_return_5bp_mean_period_return,net_return_5bp_annualised_return,net_return_5bp_annualised_volatility,net_return_5bp_sharpe,net_return_5bp_hit_rate,net_return_5bp_max_drawdown,net_return_10bp_mean_period_return,net_return_10bp_annualised_return,net_return_10bp_annualised_volatility,net_return_10bp_sharpe,net_return_10bp_hit_rate,net_return_10bp_max_drawdown,net_return_20bp_mean_period_return,net_return_20bp_annualised_return,net_return_20bp_annualised_volatility,net_return_20bp_sharpe,net_return_20bp_hit_rate,net_return_20bp_max_drawdown
0,226,1.264784860961688,5.646017699115045,0.0,0.004186470662540239,0.05274953034800701,0.2678516790265193,0.19693559711747943,0.5619469026548672,-0.6316007066120453,0.003933513690347899,0.049562272498383526,0.26785205420937913,0.18503599923725378,0.5619469026548672,-0.6458711435798309,0.0029216858015785503,0.03681324109988973,0.26785398123238074,0.13743772233854482,0.5619469026548672,-0.6976664190876244,0.0016569009406168641,0.020876951851772487,0.26785734914836984,0.07794056022038978,0.5486725663716814,-0.7519488766156033,-0.0008726687813065138,-0.010995626644462074,0.2678672819372209,-0.04104878567080499,0.5309734513274337,-0.8331557550118383
1,226,1.2643153699822336,5.557522123893805,0.004424778761061947,0.002947063580000985,0.03713300110801241,0.2720548768249581,0.13649084898376598,0.5486725663716814,-0.6924029026166933,0.0026942005060045394,0.033946926375657195,0.2720539466499683,0.12478012832996759,0.5486725663716814,-0.7040713407763785,0.0016827482100187515,0.02120262744623627,0.2720506204698425,0.07793633188418563,0.5486725663716814,-0.7465093444720983,0.00041843284003651804,0.005272253784460127,0.2720473504401568,0.019379912268691193,0.5398230088495575,-0.7911517301758496,-0.0021101978999279506,-0.02658849353909218,0.2720437694886173,-0.09773608706081645,0.5221238938053098,-0.8594969798771874
2,226,1.266057112169812,5.628318584070796,0.004424778761061947,0.003219274075149503,0.04056285334688374,0.2825143243513284,0.14357804136133184,0.5398230088495575,-0.7004323504667638,0.002966062652715542,0.03737238942421583,0.2825122717647857,0.13228589749662756,0.5353982300884956,-0.7120477215261727,0.001953216962979692,0.024610533733544118,0.2825044648135749,0.08711555673919931,0.5353982300884956,-0.7542022900118174,0.0006871598508098795,0.008658214120204481,0.28249561382463234,0.03064902142367184,0.5353982300884956,-0.7983734222349683,-0.0018449543735297434,-0.023246425106474764,0.2824809378615881,-0.08229378336978337,0.5088495575221239,-0.8644350155090046
3,226,1.264473229437103,5.597345132743363,0.004424778761061947,0.003723181405244384,0.046912085706079236,0.27230664789739084,0.17227668170538538,0.5353982300884956,-0.7130760249257145,0.0034702867593569635,0.04372561316789774,0.2723113921963976,0.1605721039256476,0.5309734513274337,-0.7178900204256962,0.002458708175807282,0.03097972301517175,0.27233076142623774,0.11375770718271494,0.5221238938053098,-0.7588487365214697,0.0011942349463701784,0.015047360324264247,0.27235585488151937,0.05524889608416964,0.5132743362831859,-0.8022433298364575,-0.0013347115125040287,-0.01681736505755076,0.2724089804775982,-0.061735721884300196,0.5,-0.8671158793601526
4,226,1.2725206574944923,5.6371681415929205,0.01327433628318584,0.0021350895970744716,0.02690212892313834,0.2850537023023536,0.09437565169598648,0.5132743362831859,-0.7806855475164118,0.0018805854655755746,0.023695376866252237,0.28505286395869167,0.08312625432763954,0.5132743362831859,-0.7892648504914788,0.0008625689395799802,0.01086836863870775,0.2850499142723291,0.038127949157439146,0.504424778761062,-0.8203736868410154,-0.0004099517179145125,-0.005165391645722857,0.2850471354852294,-0.018121184192677206,0.49557522123893805,-0.8529186401405332,-0.0029549930329034967,-0.03723291221458406,0.2850446057471491,-0.13062135351409448,0.4778761061946903,-0.9014658732750904
5,226,1.2709672469407116,5.628318584070796,0.022123893805309734,0.0018330429905087597,0.02309634168041037,0.28539494566131773,0.08092764791924219,0.5221238938053098,-0.7930248770746777,0.0015788495411206164,0.019893504218119765,0.2853963341762912,0.06970483442100353,0.5221238938053098,-0.8011166421243378,0.0005620757435680486,0.007082154368957412,0.28540225324683016,0.02481464069883292,0.5132743362831859,-0.8304593488620393,-0.000708891503372663,-0.008932032942495553,0.2854104733153235,-0.03129539304826905,0.504424778761062,-0.861159899367841,-0.003250825997254087,-0.0409604075654015,0.2854296505771587,-0.14350438884879935,0.49557522123893805,-0.9069638029425622
6,226,1.272598043586168,5.592920353982301,0.004424778761061947,0.00151627993496627,0.019105127180575,0.2927900853665725,0.06525196082598027,0.5309734513274337,-0.8481340271897518,0.0012617603262490347,0.015898180110737837,0.29278799956014484,0.05429928868198717,0.5309734513274337,-0.8541023326651165,0.00024368189138010126,0.0030703918313892756,0.29278008744539136,0.01048702409436215,0.5221238938053098,-0.8757337069853784,-0.0010289161522060676,-0.012964343517796451,0.2927711673657089,-0.044281489992497515,0.5176991150442478,-0.898344756143516,-0.0035741122393784025,-0.04503381421616787,0.2927565611130269,-0.15382683156597576,0.5,-0.9320276759744892
7,226,1.269764262488605,5.588495575221239,0.004424778761061947,0.00256648635498917,0.032337728072863545,0.2803039583377837,0.11536664792259042,0.4911504424778761,-0.8010123125196681,0.002312533502491448,0.029137922131392244,0.2803058678861209,0.1039504536638171,0.4911504424778761,-0.8087873473512672,0.0012967220925005642,0.01633869836550711,0.2803138563045291,0.05828715918972258,0.4911504424778761,-0.8369830892266497,2.695783001195901e-05,0.00033966865815068353,0.28032462977679884,0.0012116975180566042,0.4823008849557522,-0.8664866186515834,-0.0025125706949652537,-0.031658390756562196,0.28034880282597385,-0.11292500783823253,0.47345132743362833,-0.9105119837700277
8,225,1.268676712485713,5.52,0.0,0.003697223640262679,0.04658501786730976,0.25542047711714966,0.18238560350798874,0.5111111111111111,-0.7101811765797501,0.0034434882977655364,0.04338795255184576,0.2554186229086005,0.16986996507052576,0.5066666666666667,-0.7214720701154249,0.0024285469277769665,0.030599691289989777,0.2554115617673528,0.11980542728078292,0.5022222222222222,-0.7624297284276846,0.001159870215291253,0.014614364712669787,0.2554035357041297,0.057220682839722654,0.4888888888888889,-0.8053097731415889,-0.0013774832096801724,-0.017356288441970173,0.25539015176348323,-0.06795989713042588,0.47555555555555556,-0.8693508150115303
9,225,1.2640143789896814,5.528888888888889,0.008888888888888889,0.004357930827760283,0.05490992842977957,0.24435368757883905,0.2247149571338606,0.5377777777777778,-0.6104932792290899,0.004105127951962348,0.05172461219472558,0.24434989737598975,0.2116825615651277,0.5377777777777778,-0.6255518962346418,0.0030939164487706013,0.038983347254509575,0.2443351011729559,0.1595486979454282,0.5244444444444445,-0.6802181699096981,0.001829902069780919,0.023056766079239576,0.24431742641096316,0.09437217155544236,0.5111111111111111,-0.7375291941220832,-0.0006981266881984431,-0.008796396271300383,0.24428481259996637,-0.03600877261946327,0.48444444444444446,-0.8233150974617308
10,225,1.264227892363047,5.484444444444445,0.013333333333333334,0.005061817498168788,0.06377890047692673,0.2572862194828124,0.24789085324947763,0.5155555555555555,-0.6209198455612928,0.00480897191969618,0.060593046188171865,0.2572813215962415,0.2355128068071034,0.5155555555555555,-0.6353736150978888,0.0037975896058057403,0.047849629033152326,0.25726210222589435,0.18599563876352437,0.5111111111111111,-0.6879156192888372,0.0025333617134426934,0.03192035758937794,0.2572389155640197,0.1240883694420405,0.5066666666666667,-0.7431365755088557,4.905928716599043e-06,6.181470182914794e-05,0.25719533502203834,0.00024034145807446785,0.48444444444444446,-0.8261281385797818
11,225,1.258173993086001,5.417777777777777,0.008888888888888889,0.005289340716614631,0.06664569302934435,0.25019597041490904,0.26637396645047234,0.56,-0.6288011913856328,0.005037705917997429,0.0634750945667676,0.25019207077039674,0.25370546065394384,0.56,-0.6427757342353211,0.0040311667235286295,0.05079270071646073,0.2501768438422469,0.203027186434924,0.5466666666666666,-0.6936378484855001,0.0027729927304426284,0.034939708403577116,0.25015864652034153,0.1396702008488682,0.5377777777777778,-0.7472127961170044,0.00025664474427062754,0.0032337237778099067,0.2501250404297133,0.012928428806065918,0.5111111111111111,-0.8285257447725597
12,225,1.2601690981589895,5.497777777777777,0.0044444444444444444,0.004420309933618788,0.05569590516359673,0.25868003386467153,0.21530809444974036,0.5555555555555556,-0.7139475246258333,0.004168276113986989,0.052520279036236066,0.2586788133778566,0.20303278165853805,0.5511111111111111,-0.7250473206656454,0.0031601408354598,0.03981777452679348,0.25867432164925075,0.15393013992623653,0.5422222222222223,-0.7653276521613639,0.0018999717373008086,0.02393964388999019,0.25866958501725595,0.09254912551235261,0.5333333333333333,-0.8075289597470322,-0.0006203664590171706,-0.00781661738361635,0.25866303870688506,-0.0302193054821183,0.5155555555555555,-0.8706301908750577
13,225,1.2620772129807423,5.613333333333333,0.0044444444444444444,0.0034691023196673667,0.04371068922780882,0.26877202774316417,0.1626310951881433,0.56,-0.7424160839408981,0.0032166868770712198,0.040530254651097365,0.26877611561352055,0.1507955963965815,0.5555555555555556,-0.7522561456278873,0.0022070251066866236,0.027808516344251456,0.26879283099697976,0.10345706111694594,0.5422222222222223,-0.7880199803635837,0.000944947893705883,0.011906343460694125,0.26881454387748716,0.044292036022130075,0.5377777777777778,-0.8255947538931803,-0.0015792065322556038,-0.01989800230642061,0.2688606976278196,-0.0740085943463747,0.5288888888888889,-0.8820350847467712
14,225,1.2647597577021767,5.5377777777777775,0.0044444444444444444,0.003048901265973234,0.03841615595126275,0.28261369206977766,0.13593168706694422,0.5511111111111111,-0.7704012519062071,0.0027959493144327986,0.03522896136185326,0.2826165683680908,0.12465285232665375,0.5511111111111111,-0.7792824645540544,0.0017841415082710563,0.02248018300421531,0.2826284949982556,0.07953969044895513,0.5422222222222223,-0.8115219420384867,0.0005193817505688789,0.0065442100571678746,0.282644351417569,0.02315351438776742,0.5288888888888889,-0.8453847293288979,-0.0020101377648354744,-0.025327735836926976,0.2826792240077984,-0.08959885865622814,0.52,-0.8963507587504727
15,225,1.2621890220496326,5.515555555555555,0.0,0.0036815556819874877,0.046387601593042345,0.275161791087946,0.16858300496458156,0.5688888888888889,-0.736594375902314,0.0034291178775775616,0.043206885257477276,0.2751590072481444,0.1570251531635756,0.5688888888888889,-0.7467607674160082,0.002419366659937856,0.030484019915216987,0.2751482608432336,0.11079125058539013,0.5555555555555556,-0.7836734356274233,0.0011571776378882209,0.014580438237391583,0.2751357030684778,0.0529936248723151,0.5466666666666666,-0.8223839572891981,-0.0013672004062110434,-0.017226725118259147,0.2751135054511927,-0.06261679189470147,0.5288888888888889,-0.8803567416001385
16,225,1.267738882805227,5.582222222222223,0.0044444444444444444,0.003382094649167941,0.04261439257951606,0.28176538833637926,0.15124069294359826,0.5422222222222223,-0.7517190910062013,0.0031285468726068967,0.0394196905948469,0.28176427035059765,0.13990308475165147,0.5422222222222223,-0.7613676822105868,0.002114355766362713,0.026640882656170182,0.28176021070447893,0.09455161390446354,0.5377777777777778,-0.7963768242806886,0.0008466168835574862,0.010667372732824325,0.28175606384715535,0.0378603128790551,0.5333333333333333,-0.8330461504534321,-0.0016888608820529662,-0.021279647113867373,0.28175086262697935,-0.0755264665934326,0.5244444444444445,-0.8878524763370677
17,225,1.2659417374094684,5.626666666666667,0.0044444444444444444,0.0031734307419371372,0.039985227348407926,0.2744889250202063,0.14567155066625895,0.5555555555555556,-0.7723551167076043,0.0029202423944552423,0.03679505417013605,0.27450061490819827,0.1340436129166468,0.5511111111111111,-0.7810539551391155,0.0019074890045276695,0.024034361457048636,0.2745478033860494,0.08754162721620193,0.5422222222222223,-0.8126695214532743,0.0006415472671181995,0.008083495565689314,0.2746077536504946,0.029436516115191474,0.5333333333333333,-0.8458849567288005,-0.0018903362077007364,-0.02381823621702928,0.2747308670557989,-0.08669661502648593,0.52,-0.8957742488233121
