year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1706.912,-0.030121194947937323,-0.03605464787309733,-0.22486667429480725
2007,251,1820.1115537848605,-0.04653376688799688,-0.051181759595342394,-0.3946984193155467
2008,253,1612.893280632411,-0.03724115567487206,-0.05068346256437067,-0.294205026289939
2009,252,1335.4444444444443,0.06121959488951061,0.05539145422292178,0.22496384959783208
2010,252,1420.8373015873017,0.010907326185716324,0.023133802759282125,0.12083049537113011
2011,252,1490.4484126984128,-0.052245565554603274,-0.06241675088799113,-0.2953840720187716
2012,250,1395.704,-0.017841278315497425,-0.018245607627496097,-0.0974952561271651
2013,252,1507.4007936507937,0.011521824019295197,0.013472228878683157,0.10732233544275235
2014,252,1636.3650793650793,-0.05786774403199461,-0.06509596473852033,-0.4245720258291797
2015,252,1668.0119047619048,-0.060381174996226805,-0.07720016407234147,-0.4937300301073986
2016,252,1610.25,0.040513386342402556,0.027178851467507124,0.14702841115618798
2017,251,1654.1075697211156,-0.005902357001883296,-0.022654321364633252,-0.17918248894947497
2018,251,1720.5737051792828,-0.023708052270175636,-0.0335850236959521,-0.2173142403016891
2019,252,1654.7460317460318,-0.028636042271222725,-0.031777559289223586,-0.2086710181750807
2020,253,1704.8379446640315,0.06815772944490213,0.051627193157992045,0.2574093520746818
2021,252,1938.968253968254,-0.10353604407118673,-0.1324266206636434,-0.5458831071271634
2022,251,1852.434262948207,-0.06380925506552299,-0.07954199792830001,-0.3753369365462121
2023,230,1799.504347826087,-0.02743420595169123,-0.025429694679886775,-0.12005281568093636
