date,gross_return,turnover,names_without_target,names_without_any_return,net_return_1bp,net_return_5bp,net_return_10bp,net_return_20bp,offset
2006-02-01,0.02400131282249665,0.999999999999995,2,0,0.023801312822496652,0.023001312822496657,0.02200131282249666,0.02000131282249667,0
2006-03-02,0.017637317939505334,1.0483413485264297,1,0,0.01742764966980005,0.016588976590978903,0.015540635242452475,0.013443952545399616,0
2006-03-30,0.007409085860922374,0.9637613640742697,2,0,0.00721633358810752,0.006445324496848105,0.005481563132773835,0.0035540404046252956,0
2006-04-28,-0.01466756171758327,1.0636688333553197,2,0,-0.014880295484254333,-0.01573123055093859,-0.016794899384293908,-0.01892223705100455,0
2006-05-26,0.0021872451002823015,0.9862658916268008,2,0,0.0019899919219569413,0.0012009792086555007,0.0002147133170286998,-0.001757818466224902,0
2006-06-26,0.008231929627217369,0.9506061844903142,2,0,0.008041808390319306,0.007281323442727055,0.006330717258236741,0.004429504889256112,0
2006-07-25,-0.03578456152148639,1.0365987748120333,2,0,-0.0359918812764488,-0.03682116029629842,-0.037857759071110456,-0.03993095662073452,0
2006-08-22,-0.021730741636505718,1.044828581105809,4,0,-0.021939707352726878,-0.022775570217611528,-0.023820398798717335,-0.025910055960928952,0
2006-09-20,-0.02238375261773844,1.0680887798085232,3,0,-0.022597370373700146,-0.02345184139754696,-0.024519930177355487,-0.026656107736972533,0
2006-10-18,-0.00592283799636981,1.0997154081878047,5,0,-0.0061427810780073705,-0.007022553404557615,-0.00812226881274542,-0.01032169962912103,0
2006-11-15,-0.00528194668707527,1.0750805458827524,3,0,-0.005496962796251821,-0.006357027232958022,-0.007432107778840775,-0.00958226887060628,0
2006-12-14,0.02046003430029866,1.0462129020173718,7,0,0.020250791719895186,0.019413821398281288,0.018367608496263916,0.016275182692229172,0
2007-01-17,-0.02536544495945453,0.9703444359900917,8,0,-0.02555951384665255,-0.026335789395444623,-0.027306133831434713,-0.029246822703414898,0
2007-02-14,-0.018811622240585232,1.0970080984007835,6,1,-0.019031023860265388,-0.019908630338986016,-0.0210056384373868,-0.02319965463418837,0
2007-03-15,-0.006159809335932561,1.0472834377899647,5,0,-0.006369266023490553,-0.007207092773722525,-0.00825437621151249,-0.01034894308709242,0
2007-04-13,0.009278478907606072,0.9944505794576286,4,0,0.009079588791714546,0.008284028328148443,0.007289577748690814,0.005300676589775557,0
2007-05-11,0.028599826532892565,1.1202761790614668,5,0,0.02837577129708027,0.027479550353831098,0.02635927417476963,0.024118721816646697,0
2007-06-11,0.024732242612893106,1.089126407711075,6,0,0.02451441733135089,0.02364311620518203,0.022553989797470957,0.020375736982048805,0
2007-07-10,-0.004146694458210403,0.9213810800296989,3,0,-0.0043309706742163424,-0.005068075538240102,-0.005989456618269801,-0.007832218778329198,0
2007-08-07,0.017567420367976795,0.9455066328551127,5,0,0.01737831904140577,0.01662191373512168,0.01567640710226657,0.013785393836556345,0
2007-09-05,0.022699770223710624,1.0729581711580398,3,0,0.022485178589479016,0.021626812052552583,0.020553853881394545,0.018407937539078465,0
2007-10-03,0.03835017742774541,0.9268711297495447,5,0,0.0381648032017955,0.03742330629799586,0.03649643516824632,0.034642692908747226,0
2007-10-31,0.04323912230690322,1.0689532121530905,7,0,0.0430253316644726,0.04217016909475013,0.04110121588259704,0.03896330945829086,0
2007-11-29,0.025007112412493142,0.9693365307030053,3,0,0.024813245106352542,0.024037775881790138,0.02306843935108713,0.02112976628968112,0
2007-12-28,-0.03371458763264783,0.9823679859637396,3,0,-0.033911061229840576,-0.034696955618611566,-0.035679323604575305,-0.037644059576502784,0
2008-01-29,0.044889331993587876,1.105551704649499,4,0,0.04466822165265798,0.043783780288938375,0.04267822858428888,0.04046712517498988,0
2008-02-27,0.027130896139161094,1.0027742812849796,4,0,0.0269303412829041,0.026128121857876115,0.025125347576591135,0.023119799014021176,0
2008-03-27,0.010258561711751466,0.905680869872012,2,0,0.010077425537777063,0.009352880841879454,0.008447199972007442,0.006635838232263418,0
2008-04-24,-0.04146378046400645,0.9815731525384529,1,0,-0.04166009509451414,-0.042445353616544904,-0.04342692676908336,-0.045390073074160264,0
2008-05-22,0.05642867183305845,0.9440565983824373,0,0,0.05623986051338196,0.05548461523467601,0.054540558636293576,0.0526524454395287,0
2008-06-20,-0.006757364803620196,0.8962631029516538,5,0,-0.006936617424210526,-0.007653627906571849,-0.008549891009523504,-0.010342417215426811,0
2008-07-21,-0.12335279196431295,1.0028485738161173,4,0,-0.12355336167907617,-0.12435564053812907,-0.1253584891119452,-0.12736418625957743,0
2008-08-18,-0.029663900366395626,1.2003132764857058,2,0,-0.029903963021692768,-0.030864213642881333,-0.03206452691936704,-0.03446515347233845,0
2008-09-16,0.026934930481064122,1.1814387268719744,2,0,0.026698642735689726,0.025753491754192146,0.024572053027320174,0.022209175573576226,0
2008-10-14,0.07871086757501757,0.9830439920508949,6,0,0.07851425877660739,0.07772782358296668,0.07674477959091577,0.07477869160681398,0
2008-11-11,-0.011609933154090151,0.9671731447240144,3,0,-0.011803367783034955,-0.012577106298814165,-0.013544279443538181,-0.01547862573298621,0
2008-12-10,-0.0975657176421533,0.9093449831398965,5,0,-0.09774758663878128,-0.0984750626252932,-0.09938440760843309,-0.10120309757471288,0
2009-01-09,-0.06102285165131019,1.0096729270942695,1,0,-0.06122478623672904,-0.06203252457840446,-0.06304219750549873,-0.06506154335968727,0
2009-02-09,-0.0222997921124489,1.044311855860342,0,0,-0.02250865448362097,-0.023344103968309243,-0.024388415824169583,-0.026477039535890267,0
2009-03-10,-0.1314643043740805,1.0014320973333752,3,0,-0.13166459079354717,-0.13246573647141388,-0.13346716856874724,-0.135470032763414,0
2009-04-07,-0.17662670758735427,1.5289419506323645,1,0,-0.17693249597748073,-0.17815564953798663,-0.179684591488619,-0.18274247538988372,0
2009-05-06,-0.003712199988196469,1.8096045533897591,0,0,-0.004074120898874421,-0.005521804541586228,-0.007331409094975988,-0.010950618201755505,0
2009-06-04,0.026199786158203908,1.146777817256522,0,0,0.025970430594752604,0.025053008340947387,0.023906230523690862,0.02161267488917782,0
2009-07-02,0.03605166544796521,0.8954015755098436,2,0,0.03587258513286324,0.035156263872455365,0.03426086229694552,0.032470059145925836,0
2009-07-31,0.08960552079661753,1.0142608553054642,1,0,0.08940266862555643,0.08859125994131206,0.08757699908600661,0.08554847737539567,0
2009-08-28,0.0036732175688740294,1.0091948716334822,2,0,0.003471378594547333,0.0026640226972405472,0.0016548278256070651,-0.0003635619176598991,0
2009-09-28,0.0013450365987038833,0.8212290311622131,0,0,0.0011807907924714406,0.0005238075675416702,-0.00029742146362054297,-0.0019398795259449693,0
2009-10-26,0.0029006630820633227,1.0779010667745783,4,0,0.002685082868708407,0.0018227620152887444,0.000744860948514166,-0.0014109411850349906,0
2009-11-23,0.018608566141843853,1.0581813624095862,1,0,0.018396929869361936,0.017550384779434266,0.01649220341702468,0.014375840692205509,0
2009-12-22,0.02739185745125653,0.9150078933327257,0,0,0.027208855872589987,0.026476849557923805,0.02556184166459108,0.023731825877925626,0
2010-01-22,-0.03203292085283808,1.0164927287640455,2,0,-0.032236219398590886,-0.03304941358160212,-0.03406590631036617,-0.036098891767894256,0
2010-02-22,-0.046562182619540315,1.0122469183739882,3,0,-0.046764632003215116,-0.047574429537914305,-0.048586676456288294,-0.050611170293036266,0
