year,dates,mean_names,ic_pearson,ic_spearman,icir_spearman
2006,250,1575.092,-0.022780018230256986,-0.016245048795517778,-0.19309643933390025
2007,251,1812.5258964143427,0.050822571659073376,0.05545288333840211,0.6758499402816363
2008,253,1606.8458498023715,-0.031471229955797125,-0.040247364125699334,-0.3478492551245778
2009,252,1330.7738095238096,0.0011023406538240902,0.006880097806139321,0.05825244917452234
2010,252,1414.0714285714287,-0.04217241533215432,-0.04937960784324531,-0.6055440740050932
2011,252,1481.2261904761904,-0.0011843115931384977,-0.007091716284782978,-0.05450312281621086
2012,250,1387.568,-0.008872466336598123,-0.02608583324275225,-0.3252271294791657
2013,252,1498.7738095238096,0.0074914605777623745,-0.00925700611048832,-0.14470202820259204
2014,252,1622.5079365079366,0.022801752474384342,0.021182011175738973,0.25963317505950684
2015,252,1655.0357142857142,0.0034599737559632914,0.0026008901088056873,0.02230949779340753
2016,252,1601.654761904762,-0.0004606570487847417,-0.00032494410775232255,-0.0031813757629073082
2017,251,1647.3585657370518,0.03176175009233492,0.014553833590334813,0.12992833241598759
2018,251,1709.9641434262949,0.026493622154804164,0.028140538093594146,0.30837108864656493
2019,252,1645.8253968253969,-0.0025522846882064486,-0.0033428793352130253,-0.033994625243688244
2020,253,1695.9762845849802,0.020813574050808737,-0.0022671147117422057,-0.01365757024206186
2021,252,1923.2777777777778,-0.001982081430265838,-0.008028478350214065,-0.06315053085843157
2022,251,1838.4541832669322,-0.020337377119735277,-0.024217116832036405,-0.23324822849384344
2023,230,1795.6260869565217,0.0008721484195295374,-0.009532529874031213,-0.13250266294815352
