date,gross_return,turnover,names_without_target,net_return_1bp,net_return_5bp,net_return_10bp,net_return_20bp,offset
2006-01-04,-0.024241128375668244,1.0000000000000004,0,-0.024441128375668243,-0.025241128375668245,-0.026241128375668245,-0.028241128375668244,0
2006-02-02,0.002280729696655613,1.8241610629211644,0,0.00191589748407138,0.00045656863373444846,-0.001367592429186716,-0.005015914555029045,0
2006-03-03,0.005720241733710168,1.7619590646770666,2,0.005367849920774755,0.003958282669033102,0.002196323604356035,-0.0013275945249980985,0
2006-03-31,-0.031033917393764057,1.7093594553440121,2,-0.03137578928483286,-0.03274327684910807,-0.03445263630445208,-0.03787135521514011,0
2006-05-01,-0.044512957966369754,1.8779274679718345,1,-0.04488854345996412,-0.04639088543434159,-0.04826881290231343,-0.05202466783825709,0
2006-05-30,-0.002872900444556244,1.7866117910830568,1,-0.0032302228027728556,-0.004659512235639301,-0.006446124026722358,-0.010019347608888472,0
2006-06-27,-0.014711359038805877,1.6126745341734854,0,-0.015033893945640574,-0.016324033572979364,-0.017936708107152848,-0.021162057175499818,0
2006-07-26,0.018637025663059713,1.7714523055455966,1,0.018282735201950593,0.016865573357514117,0.01509412105196852,0.011551216440877327,0
2006-08-23,0.008243365234662244,1.7886613544960983,0,0.007885632963763024,0.006454703880166146,0.004666042525670047,0.0010887198166778505,0
2006-09-21,0.04470440397555379,1.8167003103294759,0,0.04434106391348789,0.04288770366522431,0.04107100335489484,0.03743760273423588,0
2006-10-19,0.00783910540406759,1.8532744954505582,1,0.007468450504977477,0.005985830908617031,0.004132556413166472,0.0004260074222653563,0
2006-11-16,0.012277440461679522,1.8255605867354925,0,0.011912328344332423,0.01045187987494403,0.008626319288208537,0.004975198114737551,0
2006-12-15,-0.010367471076414047,1.7593223427878368,2,-0.010719335544971615,-0.012126793419201884,-0.01388611576198972,-0.017404760447565393,0
2007-01-18,-0.018276525948361134,1.7177487968810785,2,-0.01862007570773735,-0.019994274745242215,-0.02171202354212329,-0.025147521135885448,0
2007-02-15,-0.04540217029666875,1.7264331230540748,0,-0.045747456921279565,-0.047128603419722824,-0.0488550365427769,-0.05230790278888505,0
2007-03-16,-0.02466294043497849,1.6692754828760257,1,-0.024996795531553692,-0.026332215917854514,-0.02800149140073054,-0.03134004236648259,0
2007-04-16,-0.0007659200551356228,1.78217505976032,0,-0.0011223550670876868,-0.002548095114895943,-0.004330270174656263,-0.007894620294176903,0
2007-05-14,0.001225051015899627,1.7291501957737878,0,0.0008792209767448694,-0.0005040991798741607,-0.0022332493756479486,-0.005691549767195525,0
2007-06-12,-0.01860698832573861,1.7864908731838243,0,-0.018964286500375377,-0.020393479198922437,-0.02217997007210626,-0.02575295181847391,0
2007-07-11,-0.03204572627670521,1.7748354680020304,1,-0.032400693370305614,-0.03382056174470724,-0.035595397212709275,-0.03914506814871333,0
2007-08-08,0.04300657062393867,1.7521142620655188,0,0.04265614777152557,0.04125445636187315,0.03950234209980764,0.035998113575676595,0
2007-09-06,-0.011998332141317904,1.677908744369822,1,-0.012333913890191868,-0.013676240885687726,-0.015354149630057549,-0.018709967118797192,0
2007-10-04,0.027975733625494516,1.869241435692539,1,0.02760188533835601,0.026106492189801978,0.024237250754109436,0.02049876788272436,0
2007-11-01,-0.007831469835550697,1.6905039531975607,0,-0.008169570626190208,-0.009521973788748257,-0.01121247774194582,-0.01459348564834094,0
2007-11-30,-0.012582948048753066,1.740401524829262,1,-0.012931028353718918,-0.014323349573582328,-0.01606375109841159,-0.019544554148070114,0
2007-12-31,0.065263810745396,1.7386377332261174,1,0.06491608319875078,0.06352517301216988,0.06178653527894377,0.058309259812491535,0
2008-01-30,0.026621471543250237,1.6995895407961021,1,0.026281553635091017,0.024921882002454133,0.023222292461658033,0.01982311338006583,0
2008-02-28,-0.031723187493784694,1.7371044064848613,1,-0.03207060837508167,-0.033460291900269556,-0.03519739630675442,-0.03867160511972414,0
2008-03-28,-0.05337812532300456,1.7482844018428352,0,-0.053727782203373126,-0.05512640972484739,-0.05687469412669023,-0.060371262930375896,0
2008-04-25,-0.010280264198243056,1.8476520850102633,1,-0.010649794615245109,-0.012127916283253319,-0.013975568368263584,-0.01767087253828411,0
2008-05-23,-0.12056449304025815,1.7903445822764414,1,-0.12092256195671344,-0.12235483762253459,-0.12414518220481104,-0.12772587136936392,0
2008-06-23,0.04693723299090351,1.8008566659231318,0,0.04657706165771888,0.045136376324980375,0.04333551965905724,0.03973380632721098,0
2008-07-22,-0.02263605724725466,1.820601875197859,0,-0.02300017762229423,-0.02445665912245252,-0.026277260997650376,-0.029918464748046096,0
2008-08-19,0.09036520897246693,1.908042714131866,1,0.08998360042964056,0.08845716625833507,0.0865491235442032,0.08273303811593946,0
2008-09-17,-0.009212102812569956,1.6518171241800683,1,-0.00954246623740597,-0.010863919936750024,-0.012515737060930093,-0.01581937130929023,0
2008-10-15,-0.0606056327230009,1.4927746361846905,1,-0.06090418765023784,-0.06209840735918559,-0.06359118199537028,-0.06657673126773966,0
2008-11-12,0.05065937061542388,1.7072323077803297,7,0.050317924153867814,0.04895213830764355,0.047244905999863224,0.04383044138430256,0
2008-12-11,-0.00869871933104275,1.9261183826437165,0,-0.009083943007571493,-0.010624837713686466,-0.012550956096330182,-0.016403192861617615,0
2009-01-12,-0.0531360646704075,1.768682113287085,1,-0.05348980109306491,-0.05490474678369458,-0.05667342889698167,-0.06021079312355584,0
2009-02-10,-0.04275202375279422,1.731543352026195,0,-0.043098332423199465,-0.04448356710482042,-0.04621511045684661,-0.049678197160899,0
2009-03-11,0.021668550771528728,1.555744055962733,1,0.02135740196033618,0.020112806715565996,0.018557062659603264,0.015445574547677796,0
2009-04-08,-0.21825182300239432,1.9197367363335258,0,-0.21863577034966103,-0.22017155973872785,-0.22209129647506137,-0.22593076994772843,0
2009-05-07,0.0039641773992665245,2.15576126520384,0,0.0035330251462257567,0.0018084161340626848,-0.000347345131141155,-0.0046588676615488345,0
2009-06-05,0.035249810178064715,1.7890271510734985,0,0.034892004747850015,0.033460783026991216,0.031671755875917716,0.02809370157377072,0
2009-07-06,0.06050296041920781,1.681261946283667,1,0.060166708029951076,0.05882169847292414,0.05714043652664048,0.05377791263407314,0
2009-08-03,-0.039629088555853516,1.9118891654234897,1,-0.04001146638893821,-0.041540977721277,-0.0434528668867005,-0.04727664521754747,0
2009-08-31,0.050035351928794596,1.775084663858962,1,0.049680334996022806,0.04826026726493563,0.046485182601076674,0.042935013273358746,0
2009-09-29,-0.01595569152993135,1.7885640302915577,0,-0.01631340433598966,-0.017744255560222907,-0.019532819590514464,-0.02310994765109758,0
2009-10-27,-0.009942914482827393,1.7630679228331294,0,-0.01029552806739402,-0.011705982405660523,-0.013469050328493652,-0.01699518617415991,0
2009-11-24,0.032127175778759016,1.7158024941033758,1,0.03178401527993834,0.03041137328465564,0.028695570790552266,0.025263965802345512,0
2009-12-23,0.008146309109081302,1.9203893948900077,0,0.007762231230103301,0.0062259197141912945,0.004305530319301287,0.0004647515295212708,0
2010-01-25,-0.01992821265273221,1.7092750557729814,0,-0.020270067663886806,-0.02163748770850519,-0.023346762764278172,-0.026765312875824135,0
2010-02-23,-0.01058758477907775,1.8023419293026641,1,-0.010948053164938285,-0.012389926708380416,-0.01419226863768308,-0.017796952496288408,0
2010-03-23,-0.0016596878410365774,1.8688695461687699,0,-0.0020334617502703314,-0.0035285573872053475,-0.005397426933374117,-0.009135166025711657,0
2010-04-21,-0.0005711960590194794,1.7454600819314825,0,-0.0009202880754057758,-0.002316656140950962,-0.0040621162228824444,-0.007553036386745409,0
2010-05-19,0.0011516084156928572,1.6402010727461394,0,0.0008235682011436293,-0.0004885926570532822,-0.0021287937297994218,-0.0054091958752917006,0
2010-06-17,0.03268571689786357,1.8957934385001414,5,0.032306558210163545,0.03078992345936343,0.028894130020863287,0.025102543143863006,0
2010-07-16,0.005239069609093879,1.6384187766230276,0,0.004911385853769274,0.0036006508324708517,0.001962232055847824,-0.001314605497398231,0
2010-08-13,0.01740732589606257,1.761738544100661,3,0.017054978187242435,0.015645587351961907,0.013883848807861247,0.010360371719659926,0
2010-09-13,0.021778241982223105,1.7926662718079995,2,0.021419708727861506,0.019985575710415107,0.018192909438607106,0.014607576894991106,0
2010-10-11,0.01528345375970596,1.8059780429974424,1,0.014922258151106472,0.013477475716708518,0.011671497673711076,0.008059541587716192,0
